Las Palmas;ESP;77;Estadio Gran Canaria;Rubén de la Barrera;ESP;FFFF00;0000FF;32000
Adri Suárez;G;ESP;N;21;D;N;Rbo;Imp;0
José Antonio Caro;G;ESP;N;32;E;S;Rbo;Con;0
Marvin Park;L;ESP;N;26;D;S;Pos;Vel;0
Valentín Pezzolesi;L;ESP;N;19;D;N;Pos;Agi;0
Viti Rozada;L;ESP;N;28;D;S;Pas;Agi;0
Andrés Rodríguez;Z;ESP;N;24;D;N;Pos;Con;0
Carlos Navarro;Z;ESP;N;22;E;N;Pos;Imp;0
Enrique Clemente;Z;ESP;N;27;E;S;Ant;Con;0
Juanma Herzog;Z;ESP;N;22;D;N;Cab;For;0
Nicholas Opoku;Z;GHA;N;29;D;N;Des;Vel;0
Álex Suárez;Z;ESP;N;33;D;S;Mar;Con;0
Edward Cedeño;V;PAN;N;23;D;S;Des;Res;0
Aboubacar Bassinga;M;BFA;N;21;E;N;Pas;Agi;0
Enzo Loiodice;M;FRA;N;25;E;S;Pas;Agi;0
Iván Medina;M;ESP;N;22;D;N;Fin;Cri;0
Iñaki González;M;ESP;N;21;D;N;Pas;Vis;0
Kirian Rodríguez;M;ESP;N;30;D;N;Pas;Vis;0
Sergio Ruiz;M;ESP;N;31;D;S;Arm;Res;0
Adam Arvelo;P;ESP;N;21;E;N;Pas;Cri;0
Ale García;P;ESP;N;23;D;S;Fin;Ace;0
Jeremía Recoba;P;URY;N;22;D;N;Fin;Cri;0
Jesé;P;ESP;N;33;D;S;Fin;Agi;0
Manu Fuster;P;ESP;N;28;D;S;Arm;Agi;0
Jefté Betancor;A;ESP;N;32;D;N;Fin;Fri;0
Sandro Ramírez;A;ESP;N;31;D;N;Chu;For;0
Taisei Miyashiro;A;JPN;N;26;D;N;Fin;Vel;0
