Inter Miami;USA;84;Nu Stadium;Guillermo Hoyos;ARG;F1A2C5;040001;26500
Dayne St. Clair;G;CAN;N;29;E;S;Sgo;Fle;0
Luis Barraza;G;USA;N;29;D;N;Rbo;Fle;0
Rocco Ríos Novo;G;ARG;N;24;D;N;Ref;Imp;0
Ezequiel Abadia-Reda;L;USA;N;20;D;N;Cru;Vel;0
Facundo Mura;L;ARG;N;27;D;S;Pas;Vel;0
Israel Boatwright;L;DOM;N;21;D;N;Cru;Vel;0
Noah Allen;L;GRC;N;22;E;S;Mar;Res;0
Sergio Reguilón;L;ESP;N;29;E;N;Pos;Ace;0
Fricio Caicedo;Z;ECU;N;18;E;N;Mar;For;0
Gonzalo Luján;Z;ARG;N;25;D;S;Des;Imp;0
Ian Fray;Z;JAM;N;23;D;N;Cab;Con;0
Maximiliano Falcón;Z;URY;N;29;D;N;Pos;Con;0
Micael;Z;BRA;N;25;E;S;Des;Imp;0
Tyler Hall;Z;USA;N;20;D;N;Cab;For;0
Casemiro;V;BRA;S;34;D;S;Des;For;3
David Ayala;V;ARG;N;23;E;N;Mar;Vis;0
David Ruíz;V;HND;N;22;D;N;Mar;For;0
Yannick Bright;V;ITA;N;24;D;S;Chu;For;0
Alexander Shaw;M;USA;N;18;D;N;Pas;Vis;0
Preston Plambeck;M;USA;N;20;D;N;Dri;Cri;0
Rodrigo De Paul;M;ARG;S;32;D;S;Pas;Res;4
Santi Morales;M;USA;N;19;D;N;Dri;Agi;0
Telasco Segovia;M;VEN;N;23;D;S;Chu;Agi;0
Dániel Pintér;P;USA;N;19;D;N;Cru;Ace;0
Lionel Messi;P;ARG;S;39;E;S;Dri;Cri;7
Mateo Silvetti;P;ARG;N;20;D;N;Dri;Vel;0
Tadeo Allende;P;ARG;N;27;D;N;Cru;Vel;0
Germán Berterame;A;MEX;N;27;D;S;Fin;Imp;0
Luis Suárez;A;URY;S;39;D;N;Fin;Fri;6
