New York City;USA;80;Yankee Stadium;Pascal Jansen;NLD;9ACBF7;000228;30000
Matt Freese;G;USA;N;27;D;S;Ref;Fle;0
Tomás Romero;G;SLV;N;25;D;N;Sgo;For;0
Drew Baiera;L;USA;N;19;D;N;Cru;Vel;0
Kevin O'Toole;L;IRL;N;27;E;S;Pos;Vel;0
Nico Cavallo;L;USA;N;24;D;N;Pas;Agi;0
Tayvon Gray;L;JAM;N;23;D;S;Mar;Vel;0
Kamran Acito;Z;USA;N;22;D;N;Pos;Vel;0
Max Murray;Z;USA;N;24;D;N;Ant;Res;0
Raul Gustavo;Z;BRA;N;27;E;S;Mar;For;0
Thiago Martins;Z;BRA;N;31;D;S;Cab;Res;0
Aiden O'Neill;V;AUS;N;28;D;S;Chu;Con;0
Andrés Perea;V;USA;N;25;D;N;Pas;Agi;0
Kai Trewin;V;AUS;N;25;D;S;Mar;For;0
Keaton Parks;V;USA;N;28;D;N;Pas;Res;0
Cooper Flax;M;USA;N;22;D;N;Chu;Fri;0
Jacob Arroyave;M;USA;N;18;D;N;Fin;Fri;0
Jonathan Shore;M;USA;N;19;D;N;Pas;Cri;0
Kevin Pierre Jr.;M;USA;N;23;D;N;Dri;Vis;0
Maxi Moralez;M;ARG;N;39;D;S;Arm;Fri;0
Máximo Carrizo;M;USA;N;18;E;N;Pas;Fri;0
Agustín Ojeda;P;ARG;N;22;D;S;Cru;Vel;0
Bénie Traoré;P;CIV;N;23;D;N;Dri;Agi;0
Hannes Wolf;P;AUT;N;27;E;S;Fin;Vel;0
Malachi Jones;P;SLE;N;22;E;N;Pas;Res;0
Talles Magno;P;BRA;N;24;D;N;Dri;Vel;0
Alonso Martínez;A;CRI;N;27;D;N;Fin;Vel;0
Arnau Farnós;A;ESP;N;23;D;N;Dri;Fri;0
Luighi;A;BRA;N;19;D;N;Dri;Vel;0
Nicolás Fernández;A;ARG;N;26;E;S;Fin;Fri;0
Seymour Reid;A;JAM;N;18;D;N;Dri;Vel;0
