Córdoba;ESP;75;Victorious Nuevo Arcángel;Iván Ania;ESP;009933;FFFFFF;20500
Guilherme Fernandes;G;PRT;N;25;D;N;Rbo;For;0
Iker Álvarez;G;AND;N;25;D;S;Ref;Fle;0
Carlos Albarrán;L;ESP;N;32;D;N;Cru;Res;0
Dani Tasende;L;ESP;N;26;E;S;Pas;Vel;0
Daniel Budesca;L;ESP;N;20;D;N;Pas;Res;0
Diego Bri;L;ESP;N;23;E;N;Cru;Ace;0
Egoitz Muñoz;L;ESP;N;22;D;S;Pos;Agi;0
Jacobo Martí;L;ESP;N;21;D;N;Des;Vel;0
Franck Fomeyem;Z;CMR;N;26;D;N;Des;For;0
Juan Gutiérrez;Z;ESP;N;26;D;S;Ant;Vel;0
Rubén Alves;Z;ESP;N;31;E;S;Pos;Con;0
Álex Martín;Z;ESP;N;28;D;N;Cab;Imp;0
Damián Cáceres;M;ESP;N;23;D;N;Pas;Agi;0
Eder García;M;ESP;N;22;D;S;Arm;Cri;0
Isma Ruiz;M;ESP;N;25;D;S;Pas;Res;0
Théo Zidane;M;FRA;N;24;D;N;Pas;Vis;0
Yussi Diarra;M;MLI;N;27;D;S;Fin;Res;0
Adilson;P;PRT;N;29;A;N;Dri;Ace;0
Adnane Ghailan;P;ESP;N;25;D;N;Dri;Agi;0
Cristian Carracedo;P;ESP;N;30;D;S;Cru;Vel;0
Kevin Medina;P;ESP;N;25;A;N;Dri;Agi;0
Salim El Jebari;P;MAR;N;22;D;N;Dri;Ace;0
Diego Percan;A;ESP;N;24;D;N;Pas;For;0
Enol Rodríguez;A;ESP;N;25;D;S;Fin;Vel;0
Ibai Sanz;A;ESP;N;23;D;N;Cab;Imp;0
Victor Sánchez;A;ESP;N;24;D;S;Pas;Vel;0
