Annecy;FRA;74;Parc des Sports d’Annecy;Laurent Guyot;FRA;E30613;FFFFFF;15500
Florian Escales;G;FRA;N;30;E;S;Ref;Fri;0
Matéo Gonzalez;G;FRA;N;20;D;N;Col;Con;0
Thomas Callens;G;FRA;N;27;E;N;Col;Fle;0
David Oduro;L;GHA;N;20;E;N;Pas;Vel;0
Esteban Marre;L;FRA;N;22;D;N;Cru;Res;0
Axel Drouhin;Z;FRA;N;26;D;S;Des;Res;0
Emmanuel Louisir;Z;FRA;N;20;D;N;Pos;Con;0
Esteban Riou;Z;FRA;N;19;E;N;Cab;Res;0
François Lajugie;Z;FRA;N;30;D;N;Des;Vel;0
Jonathan Marcolino;Z;GAB;N;20;D;N;Pos;Vel;0
Julien Kouadio;Z;FRA;N;26;D;S;Cab;Imp;0
Mattéo Veillon;Z;FRA;N;24;D;S;Des;Res;0
Sacha Lima;Z;FRA;N;22;D;N;Cab;For;0
Thibault Delphis;Z;FRA;N;23;D;S;Pos;Con;0
Ahmed Kashi;V;DZA;N;37;D;S;Pas;For;0
Pascal Mozie;V;POL;N;18;E;N;Des;Agi;0
Alexis Casadei;M;FRA;N;21;D;N;Fin;Cri;0
Kilyan Jusseron-Veniere;M;FRA;N;20;E;N;Dri;Fri;0
Mohamed Koné;M;CIV;N;19;D;S;Pas;Agi;0
Nolan Ferro;M;FRA;N;20;D;N;Fin;Cri;0
Paul Venot;M;FRA;N;24;E;S;Pas;Agi;0
Alan Mondesir;P;FRA;N;22;D;N;Fin;Cri;0
Antoine Larose;P;FRA;N;33;E;S;Cru;Ace;0
Clément Billemaz;P;FRA;N;27;E;N;Pas;Agi;0
Kadan Young;P;ENG;N;20;D;S;Dri;Ace;0
Adam Yahi;A;FRA;N;21;D;N;Fin;Vel;0
Moïse Sahi Dion;A;CIV;N;24;E;N;Chu;Imp;0
Thibault Rambaud;A;FRA;N;29;D;S;Cab;For;0
Zepiqueno Redmond;A;NLD;N;20;D;N;Fin;For;0
