Schalke 04;DEU;82;Veltins-Arena;Miron Muslic;AUT;025FAC;FFFFFF;62000
Johannes Siebeking;G;DEU;N;20;A;N;Rbo;Con;0
Kevin Müller;G;DEU;N;35;D;N;Rbo;For;0
Loris Karius;G;DEU;N;33;D;S;Sgo;For;0
Adrian Gantenbein;L;CHE;N;25;D;S;Pas;For;0
Anton Donkor;L;DEU;N;28;A;N;Cru;For;0
Robin Gosens;L;DEU;N;32;E;N;Cru;Res;0
Vitalie Becker;L;DEU;N;21;E;S;Pas;Res;0
Hasan Kuruçay;Z;TUR;N;28;D;S;Ant;For;0
Maximilian Wöber;Z;AUT;N;28;E;N;Cab;Con;0
Mertcan Ayhan;Z;TUR;N;19;D;S;Mar;Vel;0
Nikola Katic;Z;BIH;N;29;D;S;Mar;Res;0
Timo Becker;Z;DEU;N;29;D;S;Cab;Con;0
Tomas Kalas;Z;CZE;N;33;D;N;Des;Con;0
Dejan Ljubicic;V;AUT;N;28;D;N;Pas;For;0
Luca Vozar;V;DEU;N;19;E;N;Chu;Con;0
Max Grüger;V;DEU;N;21;D;N;Chu;For;0
Ron Schallenberg;V;DEU;N;27;D;S;Mar;Res;0
Satoshi Tanaka;V;JPN;N;23;E;N;Ant;For;0
Adil Aouchiche;M;FRA;N;24;D;N;Dri;Fri;0
Janik Bachmann;M;DEU;N;30;D;N;Pas;Res;0
Kenan Karaman;M;TUR;N;32;D;S;Chu;Fri;0
Soufiane El-Faouzi;M;DEU;N;24;D;S;Arm;Fri;0
Finn Porath;P;DEU;N;29;D;N;Dri;Ace;0
Junior Dina Ebimbe;P;CMR;N;25;D;N;Dri;Ace;0
Zaid Tchibara;P;TGO;N;20;D;N;Dri;Ace;0
Bryan Lasme;A;FRA;N;27;D;N;Fin;Res;0
Emil Højlund;A;DNK;N;21;D;N;Cab;Imp;0
Hee-chan Hwang;A;KOR;N;30;D;N;Pas;For;0
Junior Adamu;A;AUT;N;25;D;N;Pas;Res;0
Moussa Sylla;A;MLI;N;26;D;S;Dri;Vel;0
