Nacional-PAR;PRY;79;Arsenio Erico;Víctor Bernay;ARG;FFFFFF;005295;7500
Gerardo Ortiz;G;PRY;N;37;D;N;Sgo;Imp;0
Santiago Rojas;G;PRY;N;30;D;S;Ref;For;0
Carlos Espinola;L;PRY;N;26;D;N;Des;Vel;0
Juan Feliú;L;PRY;N;25;D;S;Pas;Agi;0
Mauricio Cabrera;L;PRY;N;18;E;N;Pos;Vel;0
Rodolfo Argüello;L;PRY;N;22;E;N;Mar;For;0
Sebastián Vargas;L;PRY;N;24;E;S;Des;For;0
Fernando Díaz;Z;PRY;N;25;E;N;Ant;Con;0
Gastón Benítez;Z;PRY;N;24;E;N;Des;Vel;0
Mauro Coronel;Z;PRY;N;18;D;N;Pos;Con;0
Rodrigo Melgarejo;Z;PRY;N;24;D;N;Mar;Con;0
Thomás Gutiérrez;Z;VEN;N;26;E;S;Cab;Vel;0
Fabrizio Jara;V;PRY;N;24;D;S;Mar;Agi;0
Jordan Santacruz;V;PRY;N;30;D;N;Mar;Res;0
Leandro Meza;V;PRY;N;24;D;N;Des;For;0
Roberto Ramírez;V;PRY;N;26;D;S;Pas;Vis;0
Silvio Torales;V;PRY;N;34;D;N;Des;Vis;0
Ángel Cardozo Lucena;V;PRY;N;31;D;N;Pas;Vis;0
Franco Pelozo;M;ARG;N;21;E;N;Pas;Res;0
Alejandro Samudio;P;PRY;N;27;D;N;Pas;Agi;0
Josué Colmán;P;PRY;N;28;D;S;Cru;Cri;0
Orlando Gaona Lugo;P;PRY;N;36;D;S;Pas;Ace;0
Richard Prieto;P;PRY;N;29;E;S;Pas;Res;0
Ignacio Bailone;A;ARG;N;32;E;N;Cab;Imp;0
Lucas González;A;PRY;N;28;E;N;Pas;For;0
Matías Almeida;A;PRY;N;21;D;N;Pas;Vel;0
Roque Santa Cruz;A;PRY;N;45;D;S;Cab;Fri;0
