Mafra;PRT;60;Estádio Municipal de Mafra;Tim Sparv;FIN;F6E828;008D18;1000
Francisco Lemos;G;PRT;N;23;D;N;Col;Con;0
Pedro Silva;G;PRT;N;29;D;S;Ref;For;0
Celso Raposo;L;PRT;N;30;D;N;Mar;For;0
Francisco Ferreira;L;PRT;N;27;D;S;Pas;Agi;0
João Ferreira;L;PRT;N;22;E;S;Pas;Agi;0
Gonçalo Cardoso;Z;PRT;N;25;E;S;Ant;Con;0
Kauê;Z;BRA;N;20;D;S;Des;For;0
Lukas;Z;PRT;N;19;D;N;Mar;Con;0
Mamadu Queta;Z;GNB;N;20;D;N;Des;Vel;0
Moussa Camara;Z;MLI;N;22;D;S;Pos;For;0
Raphael Rossi;Z;BRA;N;36;D;N;Pos;For;0
Braima Sambú;V;PRT;N;25;D;S;Pas;For;0
Yacouba Maïga;V;MLI;N;22;D;S;Des;Agi;0
Andrey;M;BRA;N;23;D;N;Pas;Agi;0
Lénio;M;PRT;N;26;D;S;Pas;Vis;0
Tiago Trindade;M;PRT;N;20;D;N;Arm;Vis;0
Ussumane Djaló;M;PRT;N;21;D;N;Dri;Agi;0
Alassana Baldé;P;GNB;N;18;E;N;Dri;Ace;0
Ença Fati;P;GNB;N;33;D;N;Dri;Vel;0
Leandro Alves;P;BRA;N;27;E;N;Arm;Cri;0
Marculino Ninte;P;GNB;N;29;D;N;Pas;Vel;0
Precatado;P;PRT;N;21;D;N;Dri;Agi;0
Rafael Moreira;P;PRT;N;24;D;N;Pas;Ace;0
Rodri;P;PRT;N;22;A;S;Pas;Agi;0
Goba Zakpa;A;CIV;N;33;E;S;Pas;For;0
Lucas Gabriel;A;BRA;N;25;D;N;Dri;Vel;0
Mamor Niang;A;ESP;N;24;E;N;Cab;For;0
Marco Amah-Tchoutchoui;A;LUX;N;18;D;N;Pas;Vel;0
