Hoffenheim;DEU;87;PreZero Arena;Christian Ilzer;AUT;0033CC;FFFFFF;30000
Luca Philipp;G;DEU;N;25;D;N;Rbo;For;0
Lúkas Petersson;G;ISL;N;22;D;N;Ref;For;0
Oliver Baumann;G;DEU;N;36;D;S;Col;For;0
Bernardo;L;BRA;N;31;E;S;Cru;Agi;0
Mats Rots;L;NLD;N;20;E;N;Pas;Agi;0
Natnael Abraha;L;DEU;N;18;D;N;Pos;Vel;0
Valentin Gendrey;L;FRA;N;26;D;N;Mar;Res;0
Vladimír Coufal;L;CZE;N;33;D;S;Cru;Res;0
Albian Hajdari;Z;XKX;N;23;E;S;Ant;Imp;0
Arthur Chaves;Z;BRA;N;25;D;N;Mar;Vel;0
Koki Machida;Z;JPN;N;28;E;N;Des;Vel;0
Ozan Kabak;Z;TUR;N;26;D;N;Cab;For;0
Robin Hranac;Z;CZE;N;26;D;S;Ant;Con;0
Sean Dulic;Z;DEU;N;21;A;N;Pos;Con;0
Cajetan Lenz;V;DEU;N;20;D;N;Chu;For;0
Leon Avdullahu;V;XKX;N;22;D;S;Ant;For;0
Luis Engelns;V;DEU;N;19;D;N;Pas;Agi;0
Wouter Burger;V;NLD;N;25;E;S;Pas;For;0
Andrej Kramaric;M;HRV;N;35;D;S;Arm;Res;0
Bambasé Conté;M;DEU;N;23;E;N;Pas;Agi;0
Dennis Geiger;M;DEU;N;28;D;N;Pas;Vis;0
Nathan De Cat;M;BEL;N;18;D;N;Dri;Res;0
Adam Daghim;P;DNK;N;20;E;N;Cru;Vel;0
Alexander Prass;P;AUT;N;25;E;N;Dri;Vel;0
Patrick Wimmer;P;AUT;N;25;D;S;Cru;Ace;0
Adam Hlozek;A;CZE;N;23;D;N;Fin;Vel;0
Fisnik Asllani;A;XKX;N;23;A;S;Cab;Vel;0
Max Moerstedt;A;DEU;N;20;D;N;Dri;Fri;0
Tim Lemperle;A;DEU;N;24;D;S;Cab;For;0
