Pescara;ITA;61;Adriatico;Antonio Buscè;ITA;0B06B3;FAFAFA;20000
Enis Ujkaj;G;ALB;N;22;D;N;Col;Con;0
Ivan Saio;G;ITA;N;24;D;S;Sgo;Imp;0
Nicolò Profeta;G;ITA;N;19;D;N;Col;Con;0
Vincenzo Fiorillo;G;ITA;N;36;E;N;Ref;Fri;0
Francesco Donati;L;ITA;N;25;D;S;Des;Vel;0
Gaetano Letizia;L;ITA;N;36;A;S;Cru;Res;0
Matteo Milan;L;ITA;N;20;D;N;Pas;Agi;0
Matteo Motta;L;ITA;N;21;E;N;Des;Res;0
Emanuele Troiano;Z;ITA;N;16;D;N;Mar;For;0
Federico Nardin;Z;ITA;N;19;D;N;Pos;Vel;0
Filippo Pellacani;Z;ITA;N;28;D;S;Des;Con;0
Giorgio Altare;Z;ITA;N;28;D;N;Cab;Imp;0
Jacopo La Barba;Z;ITA;N;19;D;N;Pos;Vel;0
Lapo Valori;Z;ITA;N;18;D;N;Mar;For;0
Riccardo Capellini;Z;ITA;N;26;D;S;Pos;Con;0
Victor Eletu;V;NGA;N;21;E;N;Pas;Agi;0
Bilal Erradi;M;ITA;N;25;D;N;Pas;Vis;0
Christian D'Errico;M;ITA;N;18;D;N;Fin;Cri;0
Filippo Guccione;M;ITA;N;33;E;S;Arm;Vis;0
Jacopo Sardo;M;ITA;N;21;D;N;Fin;Res;0
Leonardo Graziani;M;ITA;N;21;D;N;Pas;Agi;0
Lorenzo Meazzi;M;ITA;N;25;D;S;Fin;Agi;0
Luca Valzania;M;ITA;N;30;A;S;Pas;Res;0
Michele D'Ausilio;M;ITA;N;26;D;N;Arm;Cri;0
Andrea Ferraris;P;ITA;N;23;D;S;Fin;Agi;0
Davide Merola;P;ITA;N;26;E;S;Dri;Ace;0
Luigi Morazzini;P;ITA;N;18;E;N;Pas;Agi;0
Pablo Vitali;P;ITA;N;24;E;S;Dri;Vel;0
Giacomo Parigi;A;ITA;N;30;D;N;Fin;Fri;5
Michael Zeppieri;A;CAN;N;19;D;N;Fin;For;0
