Cesena;ITA;70;Dino Manuzzi;Alessandro Diamanti;ITA;FFFFFF;080808;23500
Alessandro Siano;G;ITA;N;25;D;N;Col;Con;0
Jonathan Klinsmann;G;USA;N;29;D;S;Ref;Con;0
Luca Ferretti;G;ITA;N;22;D;N;Ref;Imp;0
Simone Gianfanti;G;ITA;N;19;D;N;Rbo;Imp;0
Gianluca Frabotta;L;ITA;N;27;E;S;Cru;Res;0
Vittorio Magni;L;ITA;N;20;D;N;Pas;Vel;0
Andrea Ciofi;Z;ITA;N;27;D;S;Des;Con;0
Giovanni Zaro;Z;ITA;N;32;D;S;Ant;Con;0
Mark Natta;Z;AUS;N;23;E;N;Pos;Vel;0
Massimiliano Mangraviti;Z;ITA;N;28;E;S;Pos;For;0
Matteo Guidi;Z;ITA;N;23;D;N;Des;Res;0
Matteo Piacentini;Z;ITA;N;27;D;N;Cab;For;0
Mihajlo Ilić;Z;SRB;N;23;D;N;Cab;Con;0
Emil Bohinen;V;NOR;N;27;E;S;Pas;For;0
Filippo Bertaccini;V;ITA;N;19;D;N;Pas;Agi;0
Matteo Francesconi;V;ITA;N;22;D;S;Des;Res;0
Dimitri Bisoli;M;ITA;N;32;D;S;Pas;Res;0
Luca Schirone;M;ITA;N;23;D;N;Pas;Vis;0
Marco Dalla Vecchia;M;ITA;N;21;D;N;Pas;Res;0
Riccardo Pagano;M;ITA;N;21;D;N;Pas;Vis;0
Antonio Fiori;P;ITA;N;23;D;N;Dri;Ace;0
Luca D'Andrea;P;ITA;N;21;E;N;Dri;Agi;0
Maat Daniel Caprini;P;ITA;N;20;D;N;Dri;Vel;0
Xavello Druiventak;P;NLD;N;22;A;S;Dri;Ace;0
Alessandro Debenedetti;A;ITA;N;22;D;N;Cab;For;0
Cristian Shpendi;A;ALB;N;23;D;S;Fin;For;0
Frederik Tosku;A;ALB;N;20;A;N;Cab;For;0
Ibrahima Papa Wade;A;SEN;N;19;D;N;Dri;Vel;0
Maurizio Rossetti;A;ITA;N;19;D;N;Fin;For;0
Roberto Ogunseye;A;ITA;N;31;E;S;Pas;For;0
