AZ Alkmaar;NLD;84;AFAS Stadion;Lee-Roy Echteld;NLD;FFFFFF;C81F26;19500
Hobie Verhulst;G;NLD;N;33;E;N;Ref;For;0
Jari De Busser;G;BEL;N;26;D;S;Rbo;Fle;0
Jeroen Zoet;G;NLD;N;35;D;N;Col;Fri;0
Denso Kasius;L;NLD;N;23;D;N;Cru;Ace;0
Elijah Dijkstra;L;NLD;N;20;D;S;Mar;Vel;0
Mateo Chávez;L;MEX;N;22;E;S;Pos;For;0
Mees de Wit;L;NLD;N;28;E;N;Cru;Vel;0
Sam de Grand;L;NLD;N;21;E;N;Cru;Res;0
Seiya Maikuma;L;JPN;N;28;D;N;Cru;Agi;0
Andrea Natali;Z;ITA;N;18;D;N;Mar;Con;0
Lewis Schouten;Z;NLD;N;22;D;S;Pos;Imp;0
Maxim Dekker;Z;NLD;N;22;E;N;Cab;Vel;0
Rion Ichihara;Z;JPN;N;21;D;N;Des;Vel;0
Wesley Hoedt;Z;NLD;N;32;E;N;Ant;Imp;0
Wouter Goes;Z;NLD;N;22;D;S;Des;Con;0
Jordy Clasie;V;NLD;N;35;D;N;Pas;Vis;0
Peer Koopmeiners;V;NLD;N;26;D;S;Mar;Con;0
Stije Resink;V;NLD;N;23;D;N;Ant;For;0
Calvin Stengs;M;NLD;N;27;E;N;Arm;Cri;0
Dave Kwakman;M;NLD;N;22;D;S;Pas;Vis;0
Kees Smit;M;NLD;N;20;D;S;Pas;Agi;0
Valdemar Byskov;M;DNK;N;21;D;N;Fin;Cri;0
Weslley Patati;M;BRA;N;22;E;S;Fin;Agi;0
Ayoub Oufkir;P;NLD;N;20;E;N;Dri;Vel;0
Ibrahim Sadiq;P;GHA;N;26;D;N;Dri;Agi;0
Ro-Zangelo Daal;P;NLD;N;22;D;S;Cru;Vel;0
Wassim Bouziane;P;NLD;N;19;D;N;Pas;Vel;0
Bendegúz Kovács;A;HUN;N;19;E;N;Cab;For;0
Jizz Hornkamp;A;NLD;N;28;D;N;Fin;Fri;0
Mexx Meerdink;A;NLD;N;23;E;S;Chu;Vel;0
