Paços de Ferreira;PRT;57;Capital do Móvel;Nuno Silva;PRT;FFFF08;00BD16;9000
Cristiano Figueiredo;G;PRT;N;35;D;N;Ref;Fri;0
Marafona;G;PRT;N;39;E;S;Ref;Fle;0
Rafa;G;PRT;N;22;D;N;Col;Imp;0
Zé Pedro;G;PRT;N;24;D;N;Ref;Imp;0
Diogo Castro;L;PRT;N;29;D;N;Pos;Res;0
Leandro Dias;L;PRT;N;23;E;S;Des;Vel;0
Tiago Cerveira;L;PRT;N;34;E;S;Cru;For;0
Tiago Mesquita;L;PRT;N;35;D;S;Pos;For;0
Diegão;Z;BRA;N;22;D;N;Des;For;0
Diogo Nascimento;Z;PRT;N;23;A;N;Ant;Con;0
João Sidónio;Z;PRT;N;27;D;N;Des;For;0
Rafa Vieira;Z;PRT;N;34;A;S;Des;For;0
Gabi;V;PRT;N;18;D;N;Des;Res;0
Tomás Podstawski;V;PRT;N;31;D;S;Pas;Con;0
Francisco Ramos;M;PRT;N;31;D;S;Pas;Res;0
João Caiado;M;PRT;N;27;D;S;Pas;Res;0
Nuno Cunha;M;PRT;N;25;E;S;Fin;Fri;0
Tomás Castro;M;PRT;N;27;D;N;Pas;Agi;0
Miguel Falé;P;PRT;N;22;D;S;Dri;Res;0
Nilton Cardoso;P;PRT;N;21;D;N;Dri;Ace;0
Ricardo Brito;P;PRT;N;19;D;N;Cru;Vel;0
Platiny;A;BRA;N;35;D;S;Fin;Res;0
Sacra;A;PRT;N;26;D;N;Fin;For;0
