Alanyaspor;TUR;77;Alanya Oba Stadyumu;João Pereira;PRT;E96404;0C6136;9500
Mahmut Can Kara;G;TUR;N;20;D;N;Ref;For;0
Paulo Victor;G;BRA;N;39;E;S;Rbo;Fle;0
Yusuf Karagöz;G;TUR;N;26;D;N;Sgo;Fle;0
Bilal Demirağ;Z;TUR;N;17;D;N;Des;Vel;0
Fatih Aksoy;Z;TUR;N;28;D;N;Pos;Res;0
Fidan Aliti;Z;XKX;N;32;E;S;Ant;Con;0
Nuno Lima;Z;PRT;N;25;D;S;Cab;Vel;0
Ümit Akdağ;Z;ROU;N;22;E;S;Cab;Imp;0
Baran Gezek;V;TUR;N;20;D;N;Pas;For;0
Gaius Makouta;V;COG;N;29;D;S;Mar;For;0
Maestro;V;AGO;N;23;D;S;Pas;Agi;0
Arouna Soro;M;CIV;N;19;D;N;Dri;Fri;0
Batuhan Yavuz;M;TUR;N;21;D;N;Chu;Vis;0
Emre Demir;M;TUR;N;22;E;N;Dri;Agi;0
Enes Keskin;M;TUR;N;25;D;N;Arm;Vis;0
Florent Hadergjonaj;M;XKX;N;32;D;S;Pas;Fri;0
Ianis Hagi;M;ROU;N;27;A;N;Chu;Cri;2
İbrahim Kaya;M;TUR;N;25;D;S;Pas;Agi;0
İzzet Çelik;M;TUR;N;22;D;N;Fin;Vis;0
Ruan;M;BRA;N;21;D;S;Dri;Agi;0
Ui-jo Hwang;M;KOR;N;33;A;S;Pas;Cri;0
Yusuf Karademir;M;TUR;N;18;E;N;Dri;Fri;0
Yusuf Özdemir;M;TUR;N;25;E;N;Pas;Agi;0
Paolo Fernandes;P;ESP;N;28;E;N;Dri;Agi;0
Veysel Ünal;P;TUR;N;25;D;N;Cru;Cri;0
Şahin Dik;P;TUR;N;22;E;N;Dri;Agi;0
Arda Usluoğlu;A;TUR;N;19;D;S;Cab;Imp;0
Iván Cédric;A;CMR;N;24;D;N;Fin;For;0
Meschack Elia;A;COD;N;29;D;N;Dri;Vel;0
Omar Ben Ali;A;TUN;N;21;D;N;Fin;Imp;0
