Atlético Mineiro;BRA;85;Arena MRV;Eduardo Domínguez;ARG;050505;FFFFFF;46000
Everson;G;BRA;N;36;D;S;Rbo;Con;1
Gabriel Delfim;G;BRA;N;24;E;N;Col;Fle;0
Angelo Preciado;L;ECU;N;28;D;N;Cru;Agi;0
Kauã Pascini;L;BRA;N;18;E;N;Des;For;0
Natanael;L;BRA;N;24;D;S;Cru;Res;0
Renan Lodi;L;BRA;S;28;E;S;Cru;For;3
Lyanco;Z;BRA;N;29;D;N;Ant;For;4
Léo Duarte;Z;BRA;N;30;D;N;Ant;Vel;0
Ruan;Z;BRA;N;27;D;S;Ant;Imp;0
Vitor Hugo;Z;BRA;N;35;E;S;Cab;Con;0
Vitão;Z;BRA;N;18;D;N;Ant;For;0
Alan Franco;V;ECU;N;27;D;S;Chu;Con;0
Alexsander;V;BRA;N;22;E;N;Mar;Res;0
Kevin Castaño;V;COL;N;25;D;N;Pas;Vis;0
Patrick;V;BRA;N;22;E;N;Ant;For;0
Tomás Pérez;V;ARG;N;20;D;N;Ant;For;0
Fred;M;BRA;N;33;A;S;Pas;Cri;0
Gustavo Scarpa;M;BRA;N;32;E;N;Chu;Vis;5
Igor Gomes;M;BRA;N;27;D;N;Pas;Cri;0
Mamady Cissé;M;GIN;N;19;D;N;Pas;Res;0
Maycon;M;BRA;N;29;E;S;Pas;Res;0
Reinier;M;BRA;N;24;D;N;Pas;Vis;0
Victor Hugo;M;BRA;N;22;E;S;Dri;Agi;0
Alan Minda;P;ECU;N;23;D;N;Dri;Ace;0
Bernard;P;BRA;N;33;D;S;Dri;Agi;0
Dudu;P;BRA;N;34;D;N;Pas;Cri;0
Tomás Cuello;P;ARG;N;26;D;S;Dri;Cri;0
Cauã Soares;A;BRA;N;18;D;N;Fin;Res;0
Mateo Cassierra;A;COL;N;29;D;N;Pas;Fri;0
Thiago Borbas;A;URY;N;24;D;N;Fin;For;0
