Gimnasia y Tiro;ARG;67;El Gigante del Norte;Juan Manuel Azconzábal;ARG;4ABBFF;FFFFFF;24000
Federico Cosentino;G;ARG;N;38;D;N;Col;Imp;0
Joaquín Papaleo;G;ARG;N;32;D;S;Ref;Con;0
Lucas Pedernera;G;ARG;N;23;D;N;Sgo;Fle;0
Ivo Chaves;L;ARG;N;32;D;S;Cru;Ace;0
Juan Galetto;L;ARG;N;29;D;N;Mar;Agi;0
Lautaro Montoya;L;ARG;N;31;E;S;Pos;Vel;0
Adolfo Tallura;Z;ARG;N;38;D;N;Pos;Con;0
Gabriel Díaz;Z;ARG;N;36;D;N;Des;Res;0
Gonzalo Soto;Z;ARG;N;36;D;S;Mar;Vel;0
Manuel Guanini;Z;ARG;N;30;D;S;Ant;Imp;0
Lucas Rodríguez;V;ARG;N;22;D;N;Mar;Con;0
Matías Birge;V;ARG;N;37;D;N;Des;Vis;0
Franco Sivetti;M;ARG;N;28;D;N;Arm;Res;0
Nicolás Rinaldi;M;ARG;N;32;E;S;Pas;Cri;0
Tiago Banega;M;ARG;N;26;D;N;Chu;Res;0
Walter Montoya;M;ARG;N;32;D;S;Dri;Cri;0
Jonás Aguirre;P;ARG;N;34;E;S;Cru;Ace;0
Juan Ignacio Capano;P;ARG;N;22;D;N;Fin;Res;0
Juan Rocca;P;ARG;N;23;D;N;Arm;Vel;0
Ruben Villarreal;P;ARG;N;35;E;N;Dri;Cri;0
Camilo Pantoja;A;ARG;N;21;D;N;Cab;Res;0
Fabricio Rojas;A;ARG;N;25;D;S;Pas;Vel;0
Juan Turletti;A;ARG;N;21;D;N;Cab;Imp;0
Lautaro Gordillo;A;ARG;N;26;D;S;Chu;Fri;0
Leonel Buter;A;ARG;N;33;D;N;Pas;Vel;0
Nicolás Contin;A;ARG;N;30;D;S;Fin;For;0
