RB Leipzig;DEU;89;Red Bull Arena;Martín Demichelis;ARG;DD013E;FFFFFF;47500
Leopold Zingerle;G;DEU;N;32;D;S;Col;Con;0
Maarten Vandevoordt;G;BEL;N;24;D;N;Col;Fle;0
Ørjan Nyland;G;NOR;N;35;D;N;Ref;For;0
Benjamin Henrichs;L;DEU;N;29;D;N;Pas;Agi;0
David Raum;L;DEU;N;28;E;S;Cru;Vel;0
Max Finkgräfe;L;DEU;N;22;E;N;Pos;Agi;0
Ridle Baku;L;DEU;N;28;D;S;Cru;Vel;0
Bitshiabu;Z;FRA;N;21;E;N;Mar;Imp;0
Castello Lukeba;Z;FRA;N;23;E;S;Ant;Res;3
Lukas Klostermann;Z;DEU;N;30;D;N;Pos;Vel;4
Maxime Estève;Z;FRA;N;23;E;S;Pos;Con;0
Willi Orbán;Z;HUN;N;33;D;S;Cab;For;0
Arthur Vermeeren;V;BEL;N;21;D;N;Mar;For;0
Benno Kaltefleiter;V;DEU;N;18;D;N;Des;Con;0
Nicolas Seiwald;V;AUT;N;25;D;S;Mar;Res;0
Andrija Maksimovic;M;SRB;N;19;E;N;Chu;Fri;0
Assan Ouédraogo;M;DEU;N;20;D;N;Pas;Agi;0
Brajan Gruda;M;DEU;N;22;E;N;Dri;Agi;0
Christoph Baumgartner;M;AUT;N;26;D;S;Arm;Vis;0
Ezechiel Banzuzi;M;NLD;N;21;D;N;Fin;Fri;0
Neil El Aynaoui;M;MAR;N;25;D;N;Pas;Res;0
Rocco Reitz;M;DEU;N;24;D;S;Pas;Fri;0
Viggo Gebel;M;DEU;N;18;D;N;Dri;Vis;0
Antonio Nusa;P;NOR;N;21;D;S;Dri;Vel;5
Johan Bakayoko;P;BEL;N;23;E;N;Dri;Cri;0
Suleman Sani;P;NGA;N;19;D;N;Cru;Ace;0
Tidiam Gomis;P;FRA;N;19;D;N;Pas;Vel;0
Christopher Nkunku;A;FRA;N;28;D;N;Fin;Fri;0
Marc Guiu;A;ESP;N;20;D;N;Chu;Vel;0
Rômulo;A;BRA;N;24;D;S;Fin;Vel;0
