Boca Juniors;ARG;86;La Bombonera;Rodolfo Arruabarrena;ARG;0033A0;FFD100;54000
Agustín Marchesín;G;ARG;S;38;D;N;Ref;Con;0
Leandro Brey;G;ARG;N;23;D;S;Col;Con;0
Álvaro Montero;G;COL;N;31;D;N;Ref;For;0
Lautaro Blanco;L;ARG;N;27;E;S;Cru;For;0
Leandro Lozano;L;URY;N;27;D;N;Mar;Vel;0
Malcom Braida;L;ARG;N;29;D;S;Pas;Res;0
Agustín Heredia;Z;ARG;N;29;D;N;Des;For;0
Ayrton Costa;Z;ARG;N;27;E;S;Ant;For;0
Lautaro Di Lollo;Z;ARG;N;22;D;S;Cab;Imp;0
Marco Pellegrino;Z;ARG;N;24;E;N;Des;Con;0
Nicolás Figal;Z;ARG;N;32;D;N;Mar;Con;0
Leandro Paredes;V;ARG;S;32;D;S;Pas;Vis;4
Milton Delgado;V;ARG;N;21;D;S;Des;Res;0
Rey Domenech;V;ARG;N;20;D;N;Pas;Vis;0
Rodrigo Battaglia;V;ARG;N;35;D;N;Mar;For;0
Santiago Ascacíbar;V;ARG;N;29;D;S;Des;For;0
Tomás Belmonte;V;ARG;N;28;D;N;Mar;For;0
Carlos Palacios;M;CHL;N;26;D;N;Arm;Cri;0
Juan Ramírez;M;ARG;N;33;E;N;Dri;Agi;0
Tomás Aranda;M;ARG;N;19;D;S;Arm;Vis;0
Williams Alarcón;M;CHL;N;25;D;N;Pas;Res;0
Alan Velasco;P;ARG;N;24;D;N;Dri;Cri;0
Kevin Zenón;P;ARG;N;25;E;N;Cru;Cri;0
Leonel Flores;P;ARG;N;19;D;N;Dri;Cri;0
Sebastián Villa;P;COL;S;30;D;N;Cru;Res;0
Ángel Romero;P;PRY;N;34;D;N;Pas;Res;0
Adam Bareiro;A;PRY;N;30;D;S;Cab;For;0
Enner Valencia;A;ECU;N;36;D;N;Fin;For;0
Miguel Merentiel;A;URY;N;30;D;S;Fin;For;0
Milton Giménez;A;ARG;N;30;D;N;Fin;Fri;0
