Versailles;FRA;63;Stade Georges Lefèvre;Jordan Gonzalez;FRA;2448A0;FFFFFF;1000
Nathan Yavorsky;G;FRA;N;25;D;S;Ref;Fle;0
Rubens Adélaïde;G;GLP;N;27;D;N;Col;Con;0
Deen Adehoumi;L;FRA;N;21;E;N;Mar;For;0
Emric Goumot;L;FRA;N;22;D;S;Mar;Agi;0
Jérémi Santini;L;FRA;N;28;D;N;Pos;Res;0
Kurtis Chadet;L;FRA;N;23;D;N;Pas;Ace;0
Mathias Fischer;L;FRA;N;28;E;S;Cru;Vel;0
Abdourahmane Barry;Z;GIN;N;26;D;S;Des;Vel;0
Ange Badey;Z;CIV;N;23;D;N;Ant;Vel;0
Bilal Cissé;Z;FRA;N;26;D;N;Cab;Imp;0
Djibril Khouma;Z;FRA;N;24;E;N;Ant;For;0
Raphaël Calvet;Z;FRA;N;32;D;S;Pos;Con;0
Ryan Tchato;Z;CMR;N;21;D;S;Mar;For;0
Romain Basque;V;FRA;N;31;E;S;Pas;Con;0
Alexis Dos Santos;M;FRA;N;24;D;S;Dri;Agi;0
Ali Ouchen;M;FRA;N;23;D;S;Pas;Vis;0
Artur Zakharyan;M;FRA;N;28;D;S;Arm;Cri;0
Ismaël Aouad;M;MAR;N;20;D;N;Pas;Agi;0
Jordan Leborgne;M;GLP;N;30;D;N;Pas;Res;0
Simon Cara;M;FRA;N;21;D;N;Pas;Agi;0
Alexis Kabamba;P;FRA;N;20;E;N;Dri;Ace;0
Amir Etien;P;FRA;N;24;D;N;Cru;Vel;0
Jawed Kalai;P;FRA;N;26;E;N;Arm;Cri;0
Cédric Odzoumo;A;FRA;N;31;D;N;Fin;For;0
Shelton Guillaume;A;FRA;N;28;D;S;Fin;Vel;0
