Sportivo Trinidense;PRY;79;Martín Torres;José Arrúa;PRY;F7D10E;24187D;3000
Matías Dufour;G;URY;N;27;D;S;Ref;Imp;0
Víctor Samudio;G;PRY;N;39;D;N;Ref;Imp;0
Armando Ruiz Díaz;L;PRY;N;33;D;N;Des;Vel;0
Axel Cañete;L;PRY;N;24;D;N;Pos;Agi;0
Diego Melgarejo;L;PRY;N;29;E;N;Pos;Vel;0
Sergio Mendoza;L;PRY;N;32;E;S;Des;Res;0
Agustín Da Silveira;Z;URY;N;25;D;S;Des;Imp;0
Bruno Valdez;Z;PRY;N;33;D;S;Cab;Imp;0
César Benítez;Z;PRY;N;36;D;S;Des;Vel;0
David Villalba;Z;PRY;N;35;E;N;Ant;Vel;0
Fernando Román;Z;PRY;N;25;D;N;Ant;Vel;0
Maximiliano Centurión;Z;ARG;N;27;E;N;Des;Vel;0
Fabrizio Baruja;V;PRY;N;20;D;N;Mar;Res;0
Gustavo Viera;V;PRY;N;30;D;S;Des;Vis;0
Randy Báez;V;PRY;N;18;D;N;Des;Res;0
Jorge Marcelino;M;PRY;N;21;D;N;Chu;Res;0
Lucas González;M;ARG;N;22;D;N;Pas;Res;0
Luis Abreu;M;PRY;N;22;D;N;Fin;Res;0
Luis de la Cruz;M;PRY;N;35;D;S;Chu;Fri;0
Alan Cano;P;PRY;N;21;E;N;Pas;Cri;0
Joel Román;P;PRY;N;36;D;N;Pas;Res;0
Junior Gamarra;P;PRY;N;19;E;N;Pas;Res;0
Nicolás Maná;P;ARG;N;32;D;N;Pas;Agi;0
Ronaldo Báez;P;PRY;N;28;E;N;Dri;Vel;0
Tobías Morinigo;P;PRY;N;20;E;S;Pas;Agi;0
Tomás Rayer;P;ARG;N;24;D;S;Fin;Agi;0
Clementino González;A;PRY;N;36;D;S;Pas;Res;0
Néstor Camacho;A;PRY;N;38;E;N;Pas;Fri;0
Oscar Giménez;A;PRY;N;36;D;N;Pas;Res;0
