Paris Saint-Germain;FRA;97;Parc des Princes;Luis Enrique;ESP;003F70;FCFCFC;48500
Alessandro Longoni;G;ITA;N;18;D;N;Ref;Fle;0
Lucas Chevalier;G;FRA;N;24;D;S;Ref;Fle;0
Matvey Safonov;G;RUS;N;27;D;N;Ref;Con;0
Achraf Hakimi;L;MAR;S;27;D;N;Pas;Vel;4
Lucas Digne;L;FRA;N;32;E;N;Cru;Agi;0
Lucas Hernández;L;FRA;N;30;E;N;Des;Vel;0
Nuno Mendes;L;PRT;N;24;E;S;Cru;Agi;0
Ilya Zabarnyi;Z;UKR;N;23;D;S;Cab;Con;0
Lucas Beraldo;Z;BRA;N;22;E;N;Des;Res;0
Marquinhos;Z;BRA;S;32;D;S;Pos;Vel;0
Willian Pacho;Z;ECU;N;24;E;S;Des;For;3
Vitinha;V;PRT;S;26;D;S;Pas;Con;0
Dro Fernández;M;ESP;N;18;D;N;Dri;Vis;0
Fabián Ruiz;M;ESP;N;30;E;N;Pas;Cri;0
João Neves;M;PRT;S;21;D;S;Pas;Cri;4
Renato Sanches;M;PRT;N;28;D;N;Dri;Agi;0
Senny Mayulu;M;FRA;N;20;A;S;Fin;Vis;0
Warren Zaïre-Emery;M;FRA;N;20;D;S;Pas;Res;0
Akliouche;P;FRA;N;24;E;N;Fin;Cri;0
Désiré Doué;P;FRA;N;21;D;N;Dri;Cri;0
Khvicha Kvaratskhelia;P;GEO;N;25;A;S;Dri;Cri;5
Mika Godts;P;BEL;S;21;D;N;Fin;Agi;0
Quentin Ndjantou;P;FRA;N;18;D;N;Fin;Agi;0
Ferran Torres;A;ESP;N;26;D;S;Chu;Res;0
Ousmane Dembélé;A;FRA;S;29;A;N;Fin;Vel;7
