Mallorca;ESP;77;Mallorca Son Moix;Luis García;ESP;FF0000;000000;23000
Arnau Tenas;G;ESP;N;25;D;N;Col;For;0
Iván Cuéllar;G;ESP;N;42;E;N;Ref;Con;0
Lucas Bergström;G;FIN;N;23;D;S;Col;Imp;0
Alberto Moreno;L;ESP;N;33;E;S;Pas;Vel;0
Toni Lato;L;ESP;N;28;E;S;Mar;Agi;0
Aboubaka Soumahoro;Z;FRA;N;21;E;N;Des;For;0
Antonio Raíllo;Z;ESP;N;34;D;S;Cab;For;0
David López;Z;ESP;N;23;D;N;Ant;Vel;0
John Donald;Z;ESP;N;25;D;N;Mar;Imp;0
Martin Valjent;Z;SVK;N;30;D;S;Pos;Con;0
Antonio Sánchez;M;ESP;N;29;D;S;Pas;Res;0
Arnau Puigmal;M;ESP;N;25;D;N;Dri;Agi;0
Daniel Luna;M;COL;N;23;E;N;Arm;Agi;0
Guille Fernández;M;ESP;N;18;D;N;Dri;Res;0
Jan Salas;M;ESP;N;20;D;N;Pas;Agi;0
Manu Morlanes;M;ESP;N;27;D;S;Pas;Vis;0
Pablo Torre;M;ESP;N;23;D;N;Arm;Vis;0
Sergi Darder;M;ESP;N;32;D;S;Arm;Vis;0
Álex Sala;M;ESP;N;25;D;N;Pas;Agi;0
Adrián Liso;P;ESP;N;21;E;N;Dri;Vel;0
Antoniu Roca;P;ESP;N;23;D;S;Dri;Ace;0
Josep Cerdà;P;ESP;N;23;D;N;Dri;Ace;0
Justin Kalumba;P;FRA;N;21;E;N;Dri;Agi;0
Abdón Prats;A;ESP;N;33;E;S;Fin;For;0
Adam Buksa;A;POL;N;30;E;N;Cab;Imp;0
Adrián Fuentes;A;ESP;N;30;E;S;Fin;For;0
Zito Luvumbo;A;AGO;N;24;E;N;Dri;Vel;0
