Cincinnati;USA;81;TQL Stadium;Pat Noonan;USA;E85222;1E3B77;26000
Evan Louro;G;USA;N;30;D;N;Sgo;Fle;0
Fabian Mrozek;G;POL;N;22;D;N;Col;Fle;0
Roman Celentano;G;USA;N;25;D;S;Ref;Con;0
Alvas Powell;L;JAM;N;31;D;N;Pos;Vel;0
Kyle Smith;L;USA;N;34;D;S;Des;Ace;0
Andrei Chirilă;Z;USA;N;17;E;N;Ant;Res;0
Matt Miazga;Z;USA;N;30;D;N;Mar;For;0
Miles Robinson;Z;USA;N;29;D;S;Mar;Res;0
Nick Hagglund;Z;USA;N;33;D;S;Pos;Imp;0
Teenage Hadebe;Z;ZWE;N;30;E;N;Cab;For;0
Obinna Nwobodo;V;NGA;N;29;D;N;Mar;For;0
Ademar Chávez;M;MEX;N;17;E;N;Arm;Vis;0
Ayoub Lajhar;M;LBY;N;22;E;N;Pas;Agi;0
Evander;M;BRA;N;28;D;S;Dri;Cri;0
Gerardo Valenzuela;M;USA;N;21;D;S;Chu;Fri;0
Pavel Bucha;M;CZE;N;28;D;S;Pas;Agi;0
Samuel Gidi;M;SVK;N;22;D;S;Chu;Fri;0
Stiven Jimenez;M;MEX;N;19;D;N;Dri;Cri;0
Tah Anunga;M;CMR;N;29;D;N;Pas;Fri;0
Bryan Ramírez;P;ECU;N;25;E;S;Dri;Agi;0
Ender Echenique;P;VEN;N;22;D;S;Cru;Cri;0
Ayoub Jabbari;A;MAR;N;26;D;N;Fin;Vel;0
Kristian Fletcher;A;USA;N;20;D;N;Chu;Vel;0
Kévin Denkey;A;TGO;S;25;D;S;Fin;Fri;0
Mboma Dem;A;FRA;N;24;E;N;Fin;For;0
Tom Barlow;A;USA;N;31;D;N;Cab;Imp;0
Ștefan Chirilă;A;ROU;N;19;D;N;Dri;Fri;0
