Porto B;PRT;67;Luís Filipe Menezes;João Brandão;PRT;0037EB;FFFFFF;3500
Diogo Fernandes;G;PRT;N;21;D;S;Ref;Fri;0
Gonçalo Ribeiro;G;PRT;N;20;D;N;Col;Imp;0
Gonçalo Silva;G;PRT;N;20;D;N;Col;Con;0
João Costa;G;PRT;N;30;D;N;Ref;Con;0
Dinis;L;PRT;N;21;A;S;Pos;Res;0
Martim Cunha;L;PRT;N;19;E;N;Cru;Agi;0
Yoan Pereira;L;PRT;N;18;E;N;Cru;Vel;0
António Ribeiro;Z;PRT;N;22;D;S;Cab;Imp;0
Felipe Silva;Z;BRA;N;24;E;S;Des;For;0
Luís Gomes;Z;PRT;N;21;D;S;Des;For;0
Tiago Ferreira;Z;PRT;N;33;E;S;Ant;Con;0
André Oliveira;V;PRT;N;20;D;S;Ant;Con;0
Dennis Konney;V;GHA;N;20;D;N;Des;For;0
Tiago Silva;V;PRT;N;19;D;N;Ant;Con;0
Bernardo Lima;M;PRT;N;18;D;N;Pas;Agi;0
Eirik Granaas;M;NOR;N;16;D;N;Pas;Vis;0
João Teixeira;M;PRT;N;20;D;S;Pas;Res;0
Kauê;M;BRA;N;21;D;S;Arm;Fri;0
Mateus Mide;M;PRT;N;18;A;N;Fin;Cri;0
André Miranda;P;PRT;N;18;E;N;Fin;Agi;0
Brayan Caicedo;P;COL;N;19;D;S;Dri;Ace;0
Cardoso Varela;P;PRT;N;17;D;N;Dri;Agi;0
Duarte Cunha;P;PRT;N;18;D;N;Arm;Cri;0
Anhá Cande;A;PRT;N;18;E;N;Fin;Vel;0
Leonardo Fajardo;A;PRT;N;19;D;N;Fin;Fri;0
Mame Alassane Niang;A;SEN;N;20;E;N;Cab;Imp;0
Trofim Melnichenko;A;BLR;N;19;D;S;Pas;Vel;0
