Deportivo Alavés;ESP;85;Mendizorroza;Quique Sánchez Flores;ESP;048FD9;FFFFFF;19500
Adrián Rodríguez;G;ARG;N;25;D;N;Ref;Fle;0
Antonio Sivera;G;ESP;N;29;D;S;Ref;Fri;0
Hugo Novoa;L;ESP;N;23;D;N;Cru;Ace;0
Jonny Otto;L;ESP;N;32;A;S;Pas;Agi;0
Nahuel Tenaglia;L;ARG;N;30;D;S;Mar;For;0
Youssef Enríquez;L;MAR;N;20;E;S;Pas;Agi;0
Facundo Garcés;Z;MYS;N;26;D;S;Mar;For;0
Nicolás Valentini;Z;ARG;N;25;E;N;Cab;Imp;0
Ville Koski;Z;FIN;N;24;D;N;Pos;Res;0
Antonio Blanco;V;ESP;N;25;D;S;Ant;Vis;0
Carlos Protesoni;V;URY;N;28;D;N;Des;For;0
Tomás Mendes;V;GNB;N;21;D;N;Mar;Agi;0
Ander Guevara;M;ESP;N;29;D;N;Pas;Vis;0
Carles Aleñá;M;ESP;N;28;E;S;Pas;Vis;0
Denis Suárez;M;ESP;N;32;D;S;Arm;Cri;0
Mikel Rodriguez;M;ESP;N;23;D;N;Pas;Res;0
Pablo Ibáñez;M;ESP;N;27;D;S;Fin;Res;0
Selu Diallo;M;GIN;N;22;D;N;Pas;Res;0
Abde Rebbach;P;DZA;N;27;D;N;Dri;Agi;0
Miguel Rodríguez;P;ESP;N;23;E;N;Cru;Ace;0
Ángel Pérez;P;ESP;N;24;D;N;Cru;Ace;0
Aitor Mañas;A;ESP;N;23;E;N;Fin;Vel;0
Lucas Boyé;A;ARG;N;30;D;S;Fin;For;0
Mariano Díaz;A;DOM;N;32;D;N;Chu;Imp;0
Toni Martínez;A;ESP;N;29;D;S;Fin;Fri;0
