Orléans;FRA;63;Stade de la Source;Hervé Della Maggiore;FRA;EEE72F;E22C23;7500
Fei-Hong Faham;G;GUF;N;25;D;S;Ref;Con;0
Matisse Morville;G;FRA;N;20;D;N;Col;Fle;0
Stéphan Moussima;G;CMR;N;34;D;N;Rbo;Con;0
Boubacar Diakhaby;L;FRA;N;24;E;S;Des;Vel;0
Jad Koembo;L;FRA;N;22;D;N;Pas;Vel;0
Johann Obiang;L;GAB;N;33;E;S;Cru;Res;0
Mathéo Guiheneuf;L;FRA;N;19;D;S;Pos;Ace;0
Enzo Balenga;Z;FRA;N;23;E;N;Ant;Imp;0
Mamadou Sylla;Z;FRA;N;31;D;S;Des;For;0
Marius Lemaître;Z;FRA;N;22;D;S;Pos;Vel;0
Hugo Aubourg;V;FRA;N;23;D;N;Mar;Agi;0
Lilian Raillot;V;FRA;N;22;D;S;Ant;For;0
Youness Aouladzian;V;FRA;N;28;D;S;Pas;Vis;0
Adham Ribeiro;M;FRA;N;21;D;S;Dri;Agi;0
Belkacem Dali-Amar;M;FRA;N;28;A;N;Fin;Cri;0
Grégory Berthier;M;FRA;N;30;E;S;Arm;Vis;0
Guillaume Khous;M;FRA;N;33;D;N;Arm;Vis;0
Mamadou Diako;M;FRA;N;22;D;N;Pas;Agi;0
Idrissa Seydi;A;SEN;N;27;E;N;Chu;For;0
Mondy Prunier;A;HTI;N;26;D;N;Cab;Imp;0
Robin Legendre;A;FRA;N;24;D;S;Fin;Vel;0
