Benfica;PRT;91;Estádio da Luz;Marco Silva;PRT;FF0000;FFFFFF;68000
Anatoliy Trubin;G;UKR;N;24;D;S;Ref;Fle;0
Samuel Soares;G;PRT;N;24;D;N;Rbo;Fle;0
Alexander Bah;L;DNK;N;28;D;N;Cru;Agi;0
Samuel Dahl;L;SWE;N;23;E;S;Cru;Vel;0
Souffian El Karouani;L;MAR;N;25;E;N;Cru;Res;0
Alessandro Circati;Z;AUS;N;22;D;N;Ant;Con;0
Clément Lenglet;Z;FRA;N;31;E;N;Mar;For;0
Gabriel Índio;Z;BRA;N;17;E;S;Mar;Con;0
Tomás Araújo;Z;PRT;N;24;D;N;Mar;Vel;0
Enzo Barrenechea;V;ARG;N;25;D;S;Pas;Con;0
João Palhinha;V;PRT;N;30;D;N;Des;Con;0
Manu Silva;V;PRT;N;25;D;N;Chu;Con;0
Richard Ríos;V;COL;N;26;D;S;Chu;Vis;3
Fredrik Aursnes;M;NOR;N;30;D;S;Pas;Fri;0
Georgiy Sudakov;M;UKR;N;23;A;S;Chu;Fri;5
Leandro Barreiro;M;LUX;N;26;D;S;Fin;Agi;0
Bruma;P;PRT;N;31;D;N;Dri;Agi;0
Dodi Lukébakio;P;BEL;N;28;E;N;Dri;Vel;0
Gianluca Prestianni;P;ARG;N;20;D;N;Fin;Cri;0
Jakub Kaminski;P;POL;N;24;D;S;Cru;Vel;0
Schjelderup;P;NOR;N;22;D;N;Arm;Cri;5
Anísio Cabral;A;PRT;N;18;E;N;Dri;Fri;0
Jhon Durán;A;COL;N;22;E;N;Chu;Imp;0
Rafa Silva;A;PRT;N;33;D;S;Dri;Fri;0
Vangelis Pavlidis;A;GRC;S;27;A;S;Chu;Res;6
