Eibar;ESP;76;Ipurua;Jokin Aranbarri;ESP;FFFFFF;0070B9;8000
Jonmi Magunagoitia;G;ESP;N;25;D;S;Ref;Con;0
Luis López;G;ESP;N;25;E;N;Col;Imp;0
García de Albéniz;L;ESP;N;26;E;S;Pas;Vel;0
Juan Bernat;L;ESP;N;33;E;N;Pas;Agi;0
Sergio Cubero;L;ESP;N;26;D;S;Cru;For;0
Álvaro Rodríguez;L;ESP;N;32;D;N;Pos;Res;0
Anaitz Arbilla;Z;ESP;N;39;D;S;Cab;Con;0
Jair Amador;Z;PRT;N;36;E;N;Des;Imp;0
Markel Arana;Z;ESP;N;24;D;N;Pos;Con;0
Unai Elgezabal;Z;ESP;N;33;D;N;Ant;Imp;0
Peru Nolaskoain;V;ESP;N;27;D;S;Pas;For;0
Sergio Álvarez;V;ESP;N;34;D;S;Pas;Con;0
Aleix Garrido;M;ESP;N;22;D;S;Arm;Vis;0
Ander Madariaga;M;ESP;N;24;D;N;Fin;Agi;0
Iván Gil;M;ESP;N;26;D;N;Arm;Vis;0
Jon Magunazelaia;M;ESP;N;25;D;S;Arm;Res;0
Lander Olaetxea;M;ESP;N;33;D;N;Pas;Res;0
Lucas Núñez;M;ESP;N;20;D;N;Fin;Vis;0
Adu Ares;P;ESP;N;24;D;N;Dri;Ace;0
Eric Pérez;P;ESP;N;25;D;N;Fin;Agi;0
Jon Guruzeta;P;ESP;N;26;D;S;Dri;Res;0
Pejiño;P;ESP;N;29;E;N;Dri;Cri;0
Javi Martón;A;ESP;N;27;D;S;Fin;Imp;0
Jon Bautista;A;ESP;N;31;D;S;Cab;Res;0
