Mantova;ITA;72;Danilo Martelli;Francesco Modesto;ITA;FF0000;FFFFFF;11000
Francesco Bardi;G;ITA;N;34;D;S;Ref;Fle;0
Luca Gemello;G;ITA;N;26;D;N;Col;Imp;0
Manuel Gasparini;G;ITA;N;24;D;N;Ref;Fle;0
Fahem Benaïssa;L;FRA;N;24;E;S;Cru;Vel;0
Nicolò Radaelli;L;ITA;N;23;D;N;Cru;Res;0
Alessio Castellini;Z;ITA;N;23;D;S;Ant;Con;0
Andrea Meroni;Z;ITA;N;29;D;N;Des;For;0
Bodin Tomasevic;Z;MNE;N;20;D;N;Mar;For;0
Cristian Marai;Z;ITA;N;17;D;N;Pos;Con;0
Eman Košpo;Z;BIH;N;19;D;N;Cab;For;0
Stefano Cella;Z;ITA;N;25;D;S;Cab;Imp;0
Tommaso Del Lungo;Z;ITA;N;22;D;S;Ant;Res;0
Flavio Paoletti;V;ITA;N;23;D;N;Des;Res;0
Jean-Pierre Longonda;V;BEL;N;24;E;N;Des;For;0
David Wieser;M;ITA;N;24;D;N;Pas;Vis;0
Filippo Vesentini;M;ITA;N;23;D;N;Pas;Agi;0
Francesco Ruocco;M;ITA;N;25;D;S;Fin;Fri;0
Giacomo Fedel;M;ITA;N;24;D;N;Pas;Res;0
Ismael Cajazzo;M;CAN;N;22;D;N;Dri;Agi;0
Jonathan Silva;M;BRA;N;22;E;S;Pas;Agi;0
Lorenzo Ignacchiti;M;ITA;N;22;E;S;Arm;Res;0
Rareș Ilie;M;ROU;N;23;D;S;Arm;Agi;0
Sambaly Keïta;M;FRA;N;24;D;N;Pas;Res;0
Simone Trimboli;M;ITA;N;24;D;S;Pas;Vis;0
Davide Bragantini;P;ITA;N;23;E;N;Fin;Ace;0
Federico Chinetti;P;ITA;N;20;E;N;Pas;Agi;0
Badr Bayou;A;ITA;N;19;D;N;Fin;Vel;0
Ettore Gliozzi;A;ITA;N;30;D;S;Fin;Fri;0
Matteo Spinaccè;A;ITA;N;20;E;N;Fin;For;0
Vanja Vlahović;A;SRB;N;22;D;N;Fin;Fri;0
