Sivasspor;TUR;63;Eylül Stadyumu;İsmet Taşdemir;TUR;DA291C;FFFFFF;27500
Arda Erdursun;G;TUR;N;19;D;N;Rbo;Con;0
Göktuğ Bakırbaş;G;TUR;N;30;D;S;Rbo;Fle;0
Yiğit Baynazoğlu;G;TUR;N;16;D;N;Ref;Fle;0
Feyzi Yıldırım;L;TUR;N;30;D;N;Pas;Vel;0
Murat Paluli;L;TUR;N;32;D;N;Des;Agi;0
Uğur Çiftçi;L;TUR;N;34;E;S;Des;Agi;0
Appindangoyé;Z;GAB;N;34;D;S;Cab;Imp;0
Mehmet Albayrak;Z;TUR;N;22;D;N;Mar;Vel;0
Mert Celik;Z;AZE;N;26;D;S;Mar;Vel;0
Okan Erdoğan;Z;TUR;N;27;D;S;Des;Vel;0
Süleyman Özdamar;Z;TUR;N;33;D;N;Ant;Res;0
Turan Tuzlacık;Z;TUR;N;25;E;N;Pos;Res;0
Yusuf Kefkir;Z;TUR;N;19;E;N;Mar;Res;0
Charilaos Charisis;V;GRC;N;31;D;S;Des;Agi;0
Cihat Çelik;V;TUR;N;30;D;S;Des;Agi;0
Musah Mohammed;V;GHA;N;24;D;N;Mar;Agi;0
Eren Kaya;M;TUR;N;22;E;N;Fin;Agi;0
Eymen Yurdcu;M;TUR;N;17;D;N;Pas;Res;0
Kamil Fidan;M;TUR;N;23;D;S;Pas;Vis;0
Kerem Atakan Kesgin;M;TUR;N;25;D;N;Pas;Agi;0
Oğuzhan Aksoy;M;TUR;N;19;D;N;Pas;Agi;0
Savaş Ala;M;TUR;N;19;D;N;Pas;Agi;0
Amilton;P;BRA;N;37;D;S;Arm;Cri;0
Burak Kapacak;P;TUR;N;26;D;N;Pas;Vel;0
Clinton Duodu;P;GHA;N;21;D;N;Pas;Vel;0
Emre Gökay;P;TUR;N;20;E;N;Pas;Vel;0
Salih Kavrazlı;P;TUR;N;24;D;N;Fin;Cri;2
Valon Ethemi;P;MKD;N;28;D;S;Arm;Vel;0
Rey Manaj;A;ALB;N;29;D;S;Chu;Vel;2
Yılmaz Cin;A;TUR;N;18;D;N;Pas;Res;0
