Defensores de Belgrano;ARG;56;Juan Pasquale;César Vigevani;ARG;020202;EA1B1E;10000
Alejandro Medina;G;ARG;N;39;D;S;Sgo;Con;0
Lautaro Daus;G;ARG;N;22;D;N;Ref;Imp;0
Nicolás Nocetti;G;ARG;N;25;D;N;Col;For;0
Ian Pérez;L;ARG;N;27;E;S;Des;For;0
Martín Rodríguez;L;ARG;N;28;E;N;Pas;Ace;0
Diego Magallanes;Z;ARG;N;29;D;S;Pos;Con;0
Gonzalo Gamarra;Z;ARG;N;29;D;N;Mar;For;0
Nicolás Morro;Z;ARG;N;28;E;N;Mar;For;0
Valentín Pisacreta;Z;ARG;N;26;E;N;Pos;Con;0
Luis Jérez Silva;V;ARG;N;37;D;N;Pas;Vis;0
Agustín Benítez;M;ARG;N;26;D;S;Dri;Cri;0
Diego García;M;ARG;N;40;D;N;Fin;Agi;0
Ignacio Gutiérrez;M;ARG;N;24;D;S;Chu;Fri;0
Juan De Tomaso;M;ARG;N;33;D;S;Pas;Res;0
Leonardo Landriel;M;ARG;N;30;E;N;Pas;Agi;0
Nicolás Borsotti;M;ARG;N;20;D;N;Dri;Cri;0
Brian Gómez;P;ARG;N;32;E;S;Cru;Res;0
Ezequiel Aguirre;P;ARG;N;34;D;S;Fin;Cri;0
Leandro Ciccolini;P;ARG;N;31;D;S;Pas;Res;0
Patricio Moyano;P;ARG;N;23;E;S;Dri;Ace;0
Enzo González;A;ARG;N;25;D;S;Cab;Vel;0
Francisco Tcherkaski;A;ARG;N;20;D;N;Dri;Fri;0
Joaquín Ardaiz;A;URY;N;27;E;N;Pas;Fri;0
