Racing Santander;ESP;83;El Sardinero;José Alberto López;ESP;FFFFFF;009900;22000
Julen Agirrezabala;G;ESP;N;25;E;S;Ref;Con;0
Simon Eriksson;G;SWE;N;20;D;N;Ref;Fle;0
Aarón Martín;L;ESP;N;29;E;N;Cru;For;0
Jorge Salinas;L;ESP;N;19;E;S;Des;For;0
Álvaro Mantilla;L;ESP;N;26;D;S;Pos;For;0
Facundo González;Z;URY;N;23;E;N;Des;Con;0
Jeanuël Belocian;Z;FRA;N;21;E;N;Mar;Res;0
Manu Hernando;Z;ESP;N;28;D;S;Mar;Con;0
Pablo Ramón;Z;ESP;N;25;D;S;Ant;Vel;0
Pedro Felipe;Z;BRA;N;22;D;N;Des;Imp;0
Maguette Gueye;V;SEN;N;23;E;N;Mar;For;0
Matteo Prati;V;ITA;N;22;D;N;Pas;Vis;0
André Almeida;M;PRT;N;26;D;N;Pas;Agi;0
Iván Martín;M;ESP;N;27;E;S;Pas;Res;0
Sergio Canales;M;ESP;N;35;E;S;Arm;Vis;0
Íñigo Sainz-Maza;M;ESP;N;28;D;N;Pas;Res;0
Andrés Martín;P;ESP;N;27;E;S;Fin;Cri;0
Iker Luque;P;ESP;N;21;D;N;Dri;Vel;0
Iñigo Vicente;P;ESP;N;28;D;S;Arm;Cri;0
Asier Villalibre;A;ESP;N;28;E;S;Fin;For;0
Giorgi Guliashvili;A;GEO;N;24;D;N;Fin;Vel;0
Juan Carlos Arana;A;ESP;N;26;D;N;Pas;For;0
Yassir Zabiri;A;MAR;N;21;E;S;Chu;Imp;0
