Defensa y Justicia;ARG;78;Norberto Tomaghello;Julio Vaccari;ARG;FFEE00;007329;20000
Lautaro Amadé;G;ARG;N;26;D;N;Ref;Fle;0
Matías Borgogno;G;ARG;N;27;D;S;Col;For;0
Ayrton Portillo;L;ARG;N;25;D;S;Mar;For;0
Darío Cáceres;L;PRY;N;28;E;N;Pos;Agi;0
Fernando Román;L;PRY;N;27;E;N;Mar;Agi;0
Lucas Souto;L;ARG;N;27;A;S;Pas;Res;0
Máximo Rodríguez;L;ARG;N;21;E;N;Pos;Agi;0
Damián Fernández;Z;ARG;N;25;D;S;Cab;For;0
David Martínez;Z;PRY;N;28;E;S;Mar;Res;0
Ezequiel Burdín;Z;URY;N;21;E;S;Ant;Imp;0
Nazareno Roselli;Z;ARG;N;19;D;N;Des;Imp;0
Samuel Lucero;Z;ARG;N;21;E;N;Ant;Vel;0
Julián López;V;ARG;N;26;D;N;Chu;Vis;0
Aarón Molinas;M;ARG;S;25;D;S;Pas;Cri;0
Agustín Hausch;M;ARG;N;23;D;S;Fin;Agi;0
César Pérez;M;CHL;N;23;D;N;Dri;Fri;0
Jeremías Lucco;M;ARG;N;20;D;N;Pas;Fri;0
Mateo Aguiar;M;ARG;N;19;D;N;Arm;Vis;0
Maximiliano Porcel;M;ARG;N;20;E;N;Fin;Vis;0
Nicolás Palavecino;M;ARG;N;23;D;N;Fin;Vis;0
Santiago Sosa;M;ARG;N;21;D;S;Pas;Res;0
Éver Banega;M;ARG;N;38;D;N;Chu;Cri;0
David Barbona;P;ARG;N;31;D;N;Cru;Vel;0
Domingo Blanco;P;ARG;N;31;D;N;Pas;Ace;0
Facundo Altamira;P;ARG;N;24;D;N;Arm;Ace;0
Leandro Fernández;P;ARG;N;35;D;N;Fin;Ace;0
Juan Gutiérrez;A;URY;N;24;D;S;Pas;For;0
Luciano González;A;URY;N;20;D;N;Chu;Res;0
Tiziano Perrotta;A;ARG;N;19;E;S;Fin;Fri;0
Tomás Pérez;A;ARG;N;20;D;N;Fin;Vel;0
