Crystal Palace;ENG;90;Selhurst Park;Pierre Sage;FRA;003185;FFFFFF;25000
Dean Henderson;G;ENG;N;29;D;S;Ref;Con;0
Remi Matthews;G;ENG;N;32;D;N;Rbo;Con;0
Walter Benítez;G;ARG;N;33;D;N;Ref;Fle;0
Caleb Kporha;L;ENG;N;20;D;N;Mar;Vel;0
Tyrick Mitchell;L;ENG;N;26;E;S;Des;Vel;0
Óscar Mingueza;L;ESP;N;27;D;N;Pas;Res;0
Axel Disasi;Z;FRA;N;28;D;N;Pos;For;0
Chadi Riad;Z;MAR;N;23;E;N;Pos;Con;0
Chris Richards;Z;USA;N;26;D;S;Ant;Imp;0
Honest Ahanor;Z;NGA;N;18;E;N;Pos;Vel;0
Jaydee Canvot;Z;FRA;N;20;D;S;Ant;Vel;0
Takehiro Tomiyasu;Z;JPN;N;27;D;N;Ant;Imp;0
Adam Wharton;V;ENG;N;22;E;S;Chu;Vis;0
Cheick Doucouré;V;MLI;N;26;D;N;Ant;Vis;0
David Ozoh;V;ENG;N;21;D;N;Des;For;0
Jefferson Lerma;V;COL;N;31;D;S;Ant;Vis;0
Will Hughes;V;ENG;N;31;E;S;Ant;Vis;0
Anan Khalaili;M;ISR;N;21;D;N;Arm;Res;0
Daichi Kamada;M;JPN;N;30;D;S;Pas;Vis;0
Justin Devenny;M;NIR;N;22;E;N;Chu;Agi;0
Dwight McNeil;P;ENG;N;26;E;N;Arm;Cri;0
Evann Guessand;P;CIV;N;25;D;N;Dri;Cri;0
Ismaïla Sarr;P;SEN;N;28;D;S;Fin;Cri;5
Jesurun Rak-Sakyi;P;GHA;N;23;E;N;Dri;Vel;0
Romain Esse;P;ENG;N;21;E;N;Dri;Ace;0
Yéremy Pino;P;ESP;N;23;D;S;Pas;Vel;0
Zavier Gozo;P;USA;N;19;D;N;Arm;Agi;0
Eddie Nketiah;A;ENG;N;27;D;N;Chu;Imp;0
Jean-Philippe Mateta;A;FRA;N;29;D;S;Chu;Vel;0
Jørgen Larsen;A;NOR;N;26;D;N;Cab;For;0
