PSV;NLD;88;Philips Stadion;Peter Bosz;NLD;F7151E;FFFFFF;35000
Matej Kovar;G;CZE;N;26;D;N;Col;For;0
Nick Olij;G;NLD;N;30;D;S;Col;Imp;0
Tijn Smolenaars;G;NLD;N;21;D;N;Sgo;For;0
Kiliann Sildillia;L;FRA;N;24;D;N;Pos;Ace;0
Lutsharel Geertruida;L;NLD;N;25;D;N;Pos;Agi;0
Mauro Júnior;L;BRA;N;27;E;S;Cru;Vel;0
Sergiño Dest;L;USA;N;25;D;S;Pas;Vel;0
Adamo Nagalo;Z;BFA;N;23;D;N;Ant;Vel;0
Armando Obispo;Z;CUW;N;27;E;S;Mar;Vel;0
Fabian Merién;Z;NLD;N;17;D;N;Pos;Vel;0
Ryan Flamingo;Z;NLD;N;23;D;N;Mar;Res;0
Yarek Gasiorowski;Z;ESP;N;21;E;N;Mar;Imp;3
Jerdy Schouten;V;NLD;N;29;D;S;Ant;For;0
Noah Fernandez;V;BEL;N;18;E;N;Pas;Agi;0
Guus Til;M;NLD;N;28;D;S;Chu;Fri;0
Isaac Babadi;M;NLD;N;21;D;N;Pas;Agi;0
Joël van den Berg;M;NLD;N;19;D;N;Pas;Agi;0
Kodai Sano;M;JPN;N;22;D;N;Arm;Vis;0
Paul Wanner;M;AUT;N;20;E;N;Chu;Agi;0
Sami Ouaissa;M;NLD;N;21;E;N;Fin;Fri;0
Sven Mijnans;M;NLD;N;26;E;S;Fin;Vis;0
Bajraktarevic;P;BIH;N;21;E;N;Dri;Vel;0
Dennis Man;P;ROU;N;27;E;S;Cru;Cri;0
Filip Kostić;P;SRB;N;33;E;S;Fin;Agi;0
Ivan Perišić;P;HRV;S;37;A;S;Dri;Cri;5
Ruben van Bommel;P;NLD;N;21;D;N;Fin;Res;0
Alassane Pléa;A;FRA;N;33;D;S;Fin;Fri;0
Ricardo Pepi;A;USA;N;23;D;N;Fin;Imp;0
