Monza;ITA;81;Brianteo;Ivan Jurić;HRV;FF0000;FFFFFF;17000
Aljaz Strajnar;G;SVN;N;19;D;N;Ref;Fle;0
Demba Thiam;G;SEN;N;28;D;S;Ref;Fri;0
Noel Törnqvist;G;SWE;N;24;E;N;Col;Fle;0
Adam Bakoune;L;ITA;N;20;D;N;Pas;Vel;0
Ricardo Mangas;L;PRT;N;28;E;S;Des;Agi;0
Samuele Birindelli;L;ITA;N;27;D;S;Cru;Vel;0
Andrea Carboni;Z;ITA;N;25;E;S;Des;For;0
Eddy Kouadio;Z;ITA;N;20;D;S;Mar;Vel;0
Jan Ziolkowski;Z;POL;N;21;D;N;Pos;Con;0
Lorenzo Lucchesi;Z;ITA;N;23;E;S;Mar;Vel;0
Saba Goglichidze;Z;GEO;N;22;D;N;Des;For;0
Valentin Antov;Z;BGR;N;25;D;N;Pos;Imp;0
Yvan Maye;Z;FRA;N;20;E;N;Mar;Vel;0
Leonardo Colombo;V;ITA;N;21;D;N;Pas;Vis;0
Andrea Colpani;M;ITA;N;27;E;N;Dri;Cri;0
Ebenezer Akinsanmiro;M;NGA;N;21;D;N;Arm;Res;0
Foe Ondoa;M;FRA;N;20;D;S;Fin;Res;0
Idrissa Touré;M;DEU;N;28;D;N;Dri;Res;0
Mathis Mout;M;ITA;N;19;E;S;Dri;Vis;0
Matteo Pessina;M;ITA;N;29;E;N;Fin;Res;0
Michael Folorunsho;M;ITA;N;28;D;N;Chu;Res;0
Patrick Ciurria;M;ITA;N;31;A;N;Arm;Agi;0
Cyril Ngonge;P;BEL;N;26;E;N;Dri;Vel;0
Exequiel Zeballos;P;ARG;N;24;D;S;Dri;Ace;0
Jay Robinson;P;ENG;N;19;D;N;Dri;Ace;0
Keita Baldé;P;SEN;N;31;A;N;Arm;Cri;0
Omari Forson;P;ENG;N;22;E;N;Dri;Agi;0
Dany Mota;A;PRT;N;28;D;N;Dri;Vel;0
Gustavo Varela;A;PRT;N;21;D;S;Dri;Vel;0
Patrick Cutrone;A;ITA;N;28;D;S;Fin;Res;0
