Darmstadt 98;DEU;74;Merck-Stadion am Böllenfalltor;Florian Kohfeldt;DEU;6796C6;FFFFFF;17500
Alexander Brunst;G;DEU;N;31;D;N;Ref;For;0
Benedikt Börner;G;DEU;N;20;D;N;Sgo;Fle;0
Marcel Schuhen;G;DEU;N;33;D;S;Rbo;Fle;0
Christopher Lannert;L;DEU;N;27;A;S;Pas;Ace;0
Florian Kleinhansl;L;DEU;N;25;E;N;Pos;Vel;0
Matthias Bader;L;DEU;N;29;D;N;Des;Vel;0
Raoul Petretta;L;ITA;N;29;E;N;Mar;Vel;0
William Mikelbrencis;L;FRA;N;21;D;N;Mar;Agi;0
Aleksandar Vukotic;Z;SRB;N;30;E;S;Des;Vel;0
Grayson Dettoni;Z;USA;N;21;D;N;Mar;For;0
Max Pfister;Z;DEU;N;19;D;N;Pos;Res;0
Patric Pfeiffer;Z;GHA;N;26;D;S;Pos;Res;0
Yannik Lührs;Z;DEU;N;22;D;N;Pos;Con;0
Carlo Sickinger;V;DEU;N;28;A;S;Pas;For;0
Hiroki Akiyama;V;JPN;N;25;D;S;Mar;For;0
Kai Klefisch;V;DEU;N;26;D;S;Pas;For;0
Lance Duijvestijn;M;NLD;N;27;D;N;Fin;Res;0
Lars Kehl;M;DEU;N;24;D;N;Arm;Res;0
Luca Marseiler;M;DEU;N;29;A;S;Pas;Agi;0
Merveille Papela;M;DEU;N;25;D;N;Chu;Res;0
Milian Herbst;M;DEU;N;18;D;N;Chu;Res;0
Nicolas Verkooijen;M;BEL;N;19;D;N;Fin;Cri;0
Fabian Nürnberger;P;BGR;N;26;E;S;Fin;Ace;0
Ibrahim El Kadiri;P;MAR;N;24;D;N;Dri;Res;0
Manolo Merx;P;DEU;N;17;D;N;Fin;Cri;0
Noah Weißhaupt;P;DEU;N;24;D;N;Pas;Vel;0
Yosuke Furukawa;P;JPN;N;22;D;N;Dri;Vel;0
Fynn Lakenmacher;A;DEU;N;26;D;S;Fin;Fri;0
Ho-jae Lee;A;KOR;N;25;D;S;Fin;For;0
Milan Smit;A;NLD;N;23;D;N;Fin;Res;0
