Vissel Kobe;JPN;80;NOEVIR Stadium Kobe;Michael Skibbe;DEU;A30038;000000;30000
Shota Arai;G;JPN;N;37;D;N;Ref;Con;0
Shuichi Gonda;G;JPN;N;37;D;S;Ref;Con;1
Diego;L;BRA;N;30;E;S;Cru;Vel;0
Gotoku Sakai;L;JPN;N;35;D;S;Des;Res;4
Issei Takahashi;L;JPN;N;28;D;N;Des;For;0
Katsuya Nagato;L;JPN;N;31;E;S;Cru;Res;2
Nanasei Iino;L;JPN;N;29;D;N;Cru;Vel;0
Ryosuke Irie;L;JPN;N;21;E;N;Pas;For;0
Boniface Nduka;Z;JPN;N;30;D;N;Cab;For;0
Caetano;Z;BRA;N;27;E;N;Ant;Con;0
Matheus Thuler;Z;BRA;S;27;D;S;Cab;Vel;0
Takuya Iwanami;Z;JPN;N;32;D;N;Des;Con;0
Tetsushi Yamakawa;Z;JPN;N;28;D;S;Des;Vel;0
Takahiro Ogihara;V;JPN;N;34;E;N;Ant;Vis;0
Yuya Kuwasaki;V;JPN;N;28;D;S;Des;For;0
Daiju Sasaki;M;JPN;N;26;D;N;Arm;Agi;0
Haruya Ide;M;JPN;N;32;D;N;Dri;Agi;0
Juzo Ura;M;JPN;N;22;D;N;Dri;Vis;0
Kento Hamasaki;M;JPN;N;19;E;N;Dri;Cri;0
Kota Watanabe;M;JPN;N;27;D;N;Pas;Vis;0
Mitsuki Hidaka;M;JPN;N;23;D;N;Pas;Res;0
Yosuke Ideguchi;M;JPN;N;29;D;S;Pas;Res;0
Yuta Goke;M;JPN;N;27;D;S;Fin;Res;0
Jean Patric;P;BRA;N;29;D;N;Dri;Vel;0
Yuta Miyahara;P;JPN;N;21;D;N;Dri;Ace;0
Anderson Lopes;A;BRA;N;32;E;N;Fin;Fri;6
Niina Tominaga;A;JPN;N;22;D;N;Fin;Vel;0
Ren Komatsu;A;JPN;N;27;E;N;Cab;For;0
Yoshinori Muto;A;JPN;N;34;D;S;Cab;Res;0
Yuya Osako;A;JPN;S;36;D;S;Fin;Imp;0
