Bari;ITA;61;San Nicola;Massimo Rastelli;ITA;F7F7F7;F03030;58000
Francesco Falbo;G;ITA;N;17;D;N;Ref;Fle;0
Marco Pissardo;G;ITA;N;28;D;N;Ref;Fle;0
Michele Cerofolini;G;ITA;N;27;D;S;Ref;Imp;0
Alessandro Celli;L;ITA;N;32;E;N;Pos;Agi;0
Moussa Mané;L;ITA;N;22;D;S;Des;Agi;0
Riccardo Burgio;L;ITA;N;25;E;S;Pos;For;0
Francesco Vicari;Z;ITA;N;32;D;N;Des;Con;0
Mirko Elia;Z;ITA;N;20;E;S;Pos;Con;0
Niccolò Cocetta;Z;ITA;N;22;D;N;Pos;Imp;0
Valerio Mantovani;Z;ITA;N;30;D;S;Des;Con;0
Vasile Mogoș;Z;ROU;N;33;D;N;Ant;Con;0
Ebrima Darboe;V;GMB;N;25;D;N;Des;Agi;0
Leonardo Mendicino;V;ITA;N;20;D;N;Pas;Vis;0
Lukas Grgic;V;AUT;N;31;E;S;Pas;Con;0
Alessio Tribuzzi;M;ITA;N;27;D;S;Pas;Res;0
Giacomo Manzari;M;ITA;N;25;E;N;Fin;Cri;0
Giulio Maggiore;M;ITA;N;28;D;S;Fin;Res;0
Vincenzo Colangiuli;M;ITA;N;21;D;S;Fin;Res;0
Matteo Della Morte;P;ITA;N;26;E;N;Dri;Agi;0
Flavio Bianchi;A;ITA;N;26;D;N;Fin;Vel;0
Guido Gomez;A;ITA;N;32;D;S;Fin;Fri;0
Karlo Butic;A;HRV;N;28;E;S;Fin;For;0
Mattia Esposito;A;ITA;N;18;D;N;Dri;Fri;0
