Amedspor;TUR;76;Diyarbakır Stadyumu;Besnik Hasi;ALB;008751;FFFFFF;33000
Alban Lafont;G;CIV;N;27;D;S;Sgo;Fle;1
Burak Bozan;G;TUR;N;25;D;N;Ref;For;0
Veysel Sapan;G;TUR;N;30;D;N;Sgo;For;0
Ali Turap Bülbül;L;TUR;N;21;D;N;Mar;Vel;0
Emrullah Ertuş;L;TUR;N;25;D;N;Cru;For;0
Umut Meraş;L;TUR;N;30;E;N;Pos;For;0
Amadou Cissé;Z;GIN;N;20;D;N;Ant;For;0
Berat Perçin;Z;TUR;N;20;D;N;Des;Res;0
David Bates;Z;SCT;N;29;D;S;Ant;Vel;0
Kahraman Demirtaş;Z;TUR;N;32;E;N;Des;Con;0
Lumbardh Dellova;Z;XKX;N;27;D;S;Cab;For;0
Mehmet Yeşil;Z;TUR;N;28;A;S;Mar;Con;0
Miraç Acer;Z;TUR;N;30;D;N;Pos;For;0
Gökhan Gül;V;DEU;N;28;D;N;Ant;Res;0
Rayan Raveloson;V;MDG;N;29;D;S;Pas;For;0
Cem Üstündag;M;AUT;N;25;D;S;Chu;Fri;0
Dia Saba;M;ISR;N;33;E;S;Fin;Vis;0
Furkan Soyalp;M;TUR;N;31;D;N;Pas;Cri;0
Rayan Lutin;M;COM;N;23;E;N;Pas;Vis;0
Berk Kızıldemir;P;TUR;N;19;E;N;Cru;Vel;0
Cıvan Süer;P;TUR;N;20;E;N;Dri;Vel;0
Ermal Krasniqi;P;XKX;N;27;D;S;Pas;Cri;0
Hasan Yıldırım;P;TUR;N;20;D;N;Cru;Vel;0
Mohamed Khalil;P;SYR;N;25;D;N;Cru;Agi;0
Samuel Ballet;P;CHE;N;25;D;N;Pas;Cri;0
Yira Sor;P;NGA;N;26;D;S;Dri;Agi;0
Gift Orban;A;NGA;N;24;D;S;Fin;Vel;0
Mbaye Diagne;A;SEN;N;34;D;S;Cab;For;0
