Borussia Mönchengladbach;DEU;84;Stadion im Borussia-Park;Eugen Polanski;POL;000000;FFFFFF;54000
Daniel Batz;G;DEU;N;35;A;N;Rbo;For;0
Jan Olschowsky;G;DEU;N;24;D;N;Rbo;Fri;0
Moritz Nicolas;G;DEU;N;28;D;S;Sgo;Fle;0
Tobias Sippel;G;DEU;N;38;D;N;Rbo;For;0
Daiki Hashioka;L;JPN;N;27;D;N;Mar;Res;0
David Herold;L;DEU;N;23;E;N;Pas;Res;0
Joe Scally;L;USA;N;23;D;S;Cru;Agi;0
Lukas Ullrich;L;DEU;N;22;E;S;Cru;Agi;0
Yukhym Konoplya;L;UKR;N;26;D;N;Cru;Vel;0
Fabio Chiarodia;Z;ITA;N;21;E;S;Des;Vel;0
Jan Leszczyński;Z;POL;N;19;A;N;Cab;Con;0
Kevin Diks;Z;IDN;N;29;D;S;Mar;For;0
Ko Itakura;Z;JPN;N;29;D;N;Ant;Imp;0
Zento Uno;V;JPN;N;22;D;N;Mar;Res;0
Enzo Leopold;M;DEU;N;26;D;N;Pas;Fri;0
Florian Neuhaus;M;DEU;N;29;D;S;Fin;Cri;0
Fritz Fleck;M;DEU;N;19;E;N;Fin;Agi;0
Jens Castrop;M;KOR;N;23;D;S;Chu;Agi;0
Kevin Stöger;M;AUT;N;32;E;S;Arm;Cri;0
Mathieu Nguefack;M;DEU;N;18;A;N;Pas;Vis;0
Philipp Sander;M;DEU;N;28;A;S;Fin;Res;0
Wael Mohya;M;DEU;N;17;A;N;Chu;Agi;0
Franck Honorat;P;FRA;N;30;D;S;Cru;Cri;0
Hugo Bolin;P;SWE;N;23;D;N;Dri;Vel;0
Nicolas Kühn;P;DEU;N;26;E;N;Fin;Ace;0
Robin Hack;P;DEU;N;27;D;N;Dri;Ace;0
Iaia Manco Danfa;A;GNB;N;19;D;N;Dri;Vel;0
Isac Lidberg;A;SWE;N;27;D;N;Cab;Imp;0
Shuto Machino;A;JPN;N;26;D;S;Fin;Fri;0
Tim Kleindienst;A;DEU;N;30;A;N;Cab;Imp;0
