Fortuna Düsseldorf;DEU;65;MERKUR SPIEL-ARENA;Alexander Ende;DEU;FF0000;FFFFFF;54500
Lasse Rieß;G;DEU;N;24;D;S;Rbo;Fle;0
Louis Lord;G;DEU;N;22;D;N;Ref;Con;0
Erik Wekesser;L;DEU;N;29;E;N;Cru;Vel;0
Kaden Amaniampong;L;DEU;N;22;D;N;Mar;Agi;0
Matthias Zimmermann;L;DEU;N;34;D;S;Des;Ace;0
Sascha Risch;L;DEU;N;26;E;S;Pas;Res;0
Steven van der Sloot;L;NLD;N;24;D;N;Cru;Res;0
Dominique Heintz;Z;DEU;N;32;E;S;Mar;Res;0
Elias Egouli;Z;DEU;N;23;D;N;Mar;Res;0
Felix Meiser;Z;DEU;N;19;D;N;Ant;For;0
Levi Mentzel;Z;DEU;N;18;E;N;Pos;Con;0
Lukas Bornschein;Z;DEU;N;21;D;N;Pos;Imp;0
Noah Egouli;Z;DEU;N;20;D;N;Ant;Res;0
Tim Oberdorf;Z;DEU;N;29;D;S;Mar;For;0
Andreas Müller;V;DEU;N;26;D;N;Ant;For;0
Elias Arden;V;DEU;N;17;D;N;Ant;Con;0
Marcel Benger;V;DEU;N;27;D;N;Ant;Res;0
Anas Slimani;M;MAR;N;18;D;N;Dri;Res;0
Hamza Anhari;M;MAR;N;22;D;N;Chu;Fri;0
Jomaine Consbruch;M;DEU;N;24;D;S;Chu;Vis;0
Kilian Sauck;M;DEU;N;19;A;N;Fin;Cri;0
Miguel Gonçalves;M;LUX;N;21;D;N;Fin;Res;0
Philipp Förster;M;DEU;N;31;E;N;Pas;Vis;0
Filimon Gerezgiher;P;ERI;N;26;E;N;Cru;Agi;0
Jorrit Hendrix;P;NLD;N;31;E;S;Dri;Vel;0
Yassine Bouchama;P;DEU;N;29;A;S;Dri;Ace;0
Eric Hottmann;A;DEU;N;26;D;S;Fin;For;0
Fabian Schleusener;A;DEU;N;34;A;S;Cab;For;0
Jordi Paulina;A;CUW;N;21;D;N;Cab;For;0
Lukas Eixler;A;DEU;N;22;A;S;Fin;For;0
