Marcílio Dias;BRA;48;Gigantão das Avenidas;Lúcio Flávio;BRA;1E1E71;D90F19;6000
Diego Almeida;G;BRA;N;30;D;N;Col;Con;0
João Freitas;G;BRA;N;21;D;N;Ref;Fle;0
Matheus Cavichioli;G;BRA;N;40;D;S;Ref;Con;0
Rafael Martins;G;BRA;N;34;D;N;Col;Imp;0
Bruno Boca;L;BRA;N;27;E;S;Pas;Vel;0
Lucas Mazetti;L;BRA;N;25;D;N;Des;Agi;0
Marlon Mykaion;L;BRA;N;26;D;S;Des;Vel;0
Wesley;L;BRA;N;23;D;N;Pas;Vel;0
Ângelo;L;BRA;N;25;E;N;Pos;Ace;0
Claudinho;Z;BRA;N;36;D;S;Pos;Con;0
Marcelo Sousa;Z;BRA;N;31;D;S;Des;For;0
Guilherme Kanté;V;BRA;N;23;D;S;Des;Agi;0
Cesinha;M;BRA;N;25;D;S;Arm;Agi;0
Felipe Baiano;M;BRA;N;37;D;S;Pas;Vis;0
Jonatas Paulista;M;BRA;N;32;D;N;Pas;Vis;0
Lucas de Sá;M;BRA;N;30;D;N;Arm;Vis;0
Roldan;M;BRA;N;30;D;S;Pas;Res;0
Davi Schwenck;P;BRA;N;19;D;N;Pas;Agi;0
Garrinsha;P;HTI;N;24;D;N;Dri;Ace;0
Robinho;P;BRA;N;27;D;S;Dri;Vel;0
Gabriel Lyra;A;BRA;N;22;D;N;Fin;Vel;0
Luís Araújo;A;BRA;N;25;D;N;Pas;Vel;0
Manoel;A;BRA;N;37;D;S;Fin;For;0
Paulinho;A;BRA;N;25;D;N;Fin;Vel;0
