Benevento;ITA;70;Ciro Vigorito;Antonio Floro Flores;ITA;DC1422;F7E701;16500
Alioune Sylla;G;SEN;N;22;E;N;Ref;Imp;0
Gianmarco Vannucchi;G;ITA;N;31;D;S;Col;Con;0
Manuel Esposito;G;ITA;N;21;D;N;Ref;Con;0
Edoardo Pierozzi;L;ITA;N;24;D;S;Cru;Res;0
Leonardo Sernicola;L;ITA;N;29;D;N;Cru;Res;0
Mattia Mannini;L;ITA;N;20;D;N;Pas;Agi;0
Pietro Beruatto;L;ITA;N;27;E;N;Cru;Res;0
Raffaele Celia;L;ITA;N;27;E;N;Pas;Agi;0
Christian Dalle Mura;Z;ITA;N;24;E;N;Cab;Vel;0
Luca Caldirola;Z;ITA;N;35;E;N;Cab;Imp;0
Pietro Saio;Z;ITA;N;23;D;S;Cab;Imp;0
Raffaele Romano;Z;ITA;N;21;D;S;Ant;Vel;0
Stefano Scognamillo;Z;ITA;N;32;D;S;Mar;For;0
Antonio Prisco;V;ITA;N;22;D;S;Pas;Vis;0
Angelo Talia;M;ITA;N;23;D;N;Pas;Res;0
Antonis Siatounis;M;GRC;N;23;E;N;Arm;Vis;0
Christian Kouan;M;CIV;N;26;D;N;Fin;Res;0
Giacomo Ricci;M;ITA;N;29;E;N;Pas;Agi;0
Matteo Donatiello;M;ITA;N;20;D;N;Pas;Vis;0
Mattia Maita;M;ITA;N;32;D;S;Pas;Cri;0
Pier Luigi Simonetti;M;ITA;N;25;D;N;Fin;Res;0
Simone Verdi;M;ITA;N;34;A;N;Dri;Cri;0
Davide Lamesta;P;ITA;N;26;E;S;Arm;Cri;0
Emanuele Schimmenti;P;ITA;N;24;E;N;Arm;Ace;0
Logan;P;BRA;N;19;D;N;Dri;Vel;0
Luigi Cherubini;P;ITA;N;22;D;N;Dri;Agi;0
David Okereke;A;NGA;N;28;D;N;Dri;Vel;0
Francesco Salvemini;A;ITA;N;29;D;S;Fin;Fri;0
Guglielmo Mignani;A;ITA;N;23;D;S;Fin;Fri;0
Marco Tumminello;A;ITA;N;27;E;S;Pas;For;0
