Augsburg;DEU;84;WWK ARENA;Manuel Baum;DEU;BB3430;FFFFFF;30500
Finn Dahmen;G;DEU;N;28;D;S;Rbo;Fle;0
Nediljko Labrovic;G;HRV;N;26;D;N;Ref;Fle;0
Tom Wisbereit;G;DEU;N;18;D;N;Ref;Fle;0
Hennes Behrens;L;DEU;N;21;D;S;Cru;Ace;0
Marius Wolf;L;DEU;N;31;D;S;Cru;Agi;0
Young-woo Seol;L;KOR;N;27;D;N;Cru;Ace;0
Calvin Brackelmann;Z;DEU;N;27;E;N;Pos;Vel;0
Chrislain Matsima;Z;FRA;N;24;D;S;Ant;Vel;0
Jeffrey Gouweleeuw;Z;NLD;N;35;D;N;Mar;For;0
Juma Bah;Z;SLE;N;20;D;N;Mar;Imp;0
Noahkai Banks;Z;USA;N;19;D;S;Pos;Res;0
Kristijan Jakic;V;HRV;N;29;D;S;Mar;Vis;0
Robin Fellhauer;V;DEU;N;28;D;S;Mar;Vis;0
Tim Breithaupt;V;DEU;N;24;D;N;Pas;For;0
Tim Schnitzer;V;DEU;N;18;D;N;Pas;Vis;0
Yannik Keitel;V;DEU;N;26;A;N;Mar;Vis;0
Arijon Ibrahimovic;M;DEU;N;20;D;N;Pas;Cri;0
Claude-Maurice;M;FRA;N;28;D;N;Fin;Res;0
Fabian Rieder;M;CHE;N;24;E;S;Fin;Cri;0
Han-Noah Massengo;M;FRA;N;25;D;S;Chu;Fri;0
Mert Kömür;M;DEU;N;21;A;N;Arm;Vis;0
Sima Suso;M;DEU;N;21;E;N;Pas;Fri;0
Anton Kade;P;DEU;N;22;D;S;Cru;Agi;0
Faik Sakar;P;DEU;N;18;D;N;Dri;Ace;0
Nathanaël Mbuku;P;COD;N;24;E;N;Pas;Agi;0
Michael Gregoritsch;A;AUT;N;32;E;S;Cab;Imp;0
Rodrigo Ribeiro;A;PRT;N;21;D;N;Fin;Fri;0
Steve Mounié;A;BEN;N;31;D;N;Cab;Imp;0
Uchenna Ogundu;A;NGA;N;20;D;N;Dri;Vel;0
