Unión Santa Fe;ARG;77;15 de Abril;Leonardo Madelón;ARG;FF0000;FFFFFF;30000
Federico Gomes Gerth;G;ARG;N;21;D;N;Col;Con;0
Lucas Meuli;G;ARG;N;24;E;N;Ref;Fle;0
Matías Mansilla;G;ARG;N;30;D;S;Ref;Imp;0
Bruno Pittón;L;ARG;N;33;E;S;Cru;Ace;0
Juan Pintado;L;URY;N;28;D;S;Pas;Ace;0
Lautaro Vargas;L;ARG;N;21;D;S;Pas;Res;0
Juan Pablo Ludueña;Z;ARG;N;23;D;S;Cab;For;0
Maizon Rodríguez;Z;URY;N;22;D;S;Mar;Con;0
Matías Rocha;Z;URY;N;25;D;S;Mar;For;0
Joaquín Mosqueira;V;ARG;N;21;D;N;Des;Res;0
Emilio Giaccone;M;ARG;N;21;D;N;Fin;Fri;0
Ignacio Malcorra;M;ARG;N;38;E;S;Arm;Cri;0
Julián Palacios;M;ARG;N;27;D;S;Dri;Cri;0
Lucas Menossi;M;ARG;N;33;D;N;Arm;Fri;0
Mauro Luna Diale;M;ARG;N;26;D;N;Chu;Vis;0
Santiago Grella;M;ARG;N;20;D;N;Pas;Cri;0
Augusto Solari;P;ARG;N;34;D;N;Dri;Res;0
Brahian Cuello;P;ARG;N;28;D;N;Pas;Ace;0
Franco Fragapane;P;ARG;N;33;D;N;Cru;Agi;0
Misael Aguirre;P;ARG;N;18;D;N;Pas;Res;0
Cristian Tarragona;A;ARG;N;34;D;S;Chu;Vel;0
Eric Ramírez;A;ARG;N;29;D;N;Chu;Fri;0
Marcelo Estigarribia;A;ARG;N;30;D;S;Pas;Res;0
