Recoleta;PRY;77;Ricardo Gregor;Jorge González;PRY;F5E801;000000;4000
Nelson Ferreira;G;PRY;N;28;D;S;Sgo;Imp;0
Óscar Toledo;G;PRY;N;27;D;N;Ref;Fle;0
Claudio Figueredo;L;PRY;N;27;D;N;Mar;Res;0
Dairon Mosquera;L;COL;N;34;E;N;Des;Agi;0
Facundo Echeguren;L;PRY;N;22;D;S;Pas;Agi;0
Luis Mendoza;L;PRY;N;30;E;N;Mar;Agi;0
Marcelo Medina;L;PRY;N;30;D;N;Mar;Res;0
Pedro Rios;L;PRY;N;22;E;S;Cru;Ace;0
Juan Núñez;Z;PRY;N;36;E;N;Mar;For;0
Julio Domínguez;Z;PRY;N;34;D;N;Ant;Imp;0
Lucas Monzón;Z;ARG;N;23;E;S;Ant;Con;0
Luis Cardozo;Z;PRY;N;37;D;N;Mar;For;0
Marcos Pereira;Z;PRY;N;24;D;N;Pos;Imp;0
Nicolás Marotta;Z;ARG;N;29;D;S;Cab;Imp;0
Claudio Garay;V;PRY;N;30;D;N;Mar;Agi;0
Fernando Galeano;V;PRY;N;27;D;N;Ant;Agi;0
José Espínola;V;PRY;N;25;D;S;Mar;Res;0
Alejandro Silva;M;URY;N;36;D;N;Arm;Vis;0
Marcelo Cañete;M;ARG;N;36;D;N;Arm;Vis;0
Ronal Domínguez;M;PRY;N;34;D;S;Pas;Cri;0
Brahian Ferreira;P;PRY;N;24;D;N;Pas;Vel;0
Hector López;P;PRY;N;20;D;N;Pas;Agi;0
Manuel Schupp;P;PRY;N;20;E;N;Pas;Agi;0
Wilfrido Báez;P;PRY;N;32;D;S;Cru;Cri;0
Aldo González;A;PRY;N;29;A;S;Fin;Vel;0
Kevin Parzajuk;A;PRY;N;23;D;S;Cab;For;0
Paul Charpentier;A;ARG;N;26;D;N;Cab;Res;0
Richard Ortiz;A;PRY;N;31;D;N;Fin;For;0
Thiago Vidal;A;PRY;N;23;D;N;Pas;Vel;0
