Sport;BRA;71;Ilha do Retiro;Gilmar Dal Pozzo;BRA;D71922;000000;26000
Adriano;G;BRA;N;23;D;N;Ref;Fle;0
Brenno;G;BRA;N;27;D;N;Ref;Con;0
Denis;G;BRA;N;39;E;N;Ref;Con;0
Thiago Couto;G;BRA;N;27;D;S;Ref;Fri;0
Augusto;L;BRA;N;18;D;S;Pas;Agi;0
Claudinho;L;BRA;N;25;D;N;Cru;Ace;0
Edson Lucas;L;BRA;N;25;E;N;Cru;Agi;0
Felipinho;L;BRA;N;29;E;S;Cru;Vel;0
Habraão;Z;BRA;N;25;D;N;Cab;For;0
João Silva;Z;PRT;N;27;D;N;Des;For;0
Kayky Almeida;Z;BRA;N;21;E;N;Ant;Vel;0
Marcelo Ajul;Z;BRA;N;23;D;S;Des;For;0
Marcelo Benevenuto;Z;BRA;N;30;D;S;Mar;Con;0
Patrick;Z;BRA;N;21;A;N;Pos;Vel;0
Murilo Rhikman;V;BRA;N;20;D;N;Pas;Vis;0
Pedro Martins;V;BRA;N;26;D;N;Mar;Agi;0
Willian Oliveira;V;BRA;N;32;D;N;Des;Res;0
Zé Gabriel;V;BRA;N;27;D;S;Mar;Con;0
Biel Fonseca;M;BRA;N;24;D;S;Pas;Res;0
Fábio Matheus;M;BRA;N;23;E;N;Pas;Res;0
Patrick de Paula;M;BRA;N;26;E;N;Chu;Vis;0
Carlos de Pena;P;URY;N;34;E;S;Arm;Cri;0
Chrystian Barletta;P;BRA;N;25;E;S;Fin;Ace;0
Clayson;P;BRA;N;31;D;N;Dri;Agi;0
Diego Hernández;P;URY;N;26;E;N;Fin;Agi;0
Marlon;P;BRA;N;28;D;N;Arm;Res;0
Dudu Teodora;A;BRA;N;26;D;N;Pas;Vel;0
Iury Castilho;A;BRA;N;30;D;S;Fin;For;0
Perotti;A;BRA;N;28;E;S;Fin;Fri;0
Zé Roberto;A;BRA;N;32;D;N;Pas;For;0
