Manchester United;ENG;94;Old Trafford;Michael Carrick;ENG;D9020D;FFFFFF;74500
Dermot Mee;G;NIR;N;23;D;N;Ref;Fle;0
Karl Darlow;G;WLS;N;35;D;N;Ref;Fle;0
Senne Lammens;G;BEL;N;24;D;S;Col;Con;0
Tom Heaton;G;ENG;N;40;D;N;Col;Con;0
Diego León;L;PRY;N;19;E;N;Mar;Res;0
Diogo Dalot;L;PRT;N;27;D;S;Pos;Vel;0
Luke Shaw;L;ENG;N;31;E;S;Pas;Agi;0
Noussair Mazraoui;L;MAR;N;28;D;N;Des;Agi;0
Patrick Dorgu;L;DNK;N;21;E;S;Des;Vel;0
Ayden Heaven;Z;ENG;N;19;E;N;Des;Con;0
Harry Maguire;Z;ENG;N;33;D;N;Cab;Imp;0
Leny Yoro;Z;FRA;N;20;D;S;Ant;Vel;0
Lisandro Martínez;Z;ARG;N;28;E;N;Des;Vel;0
Matthijs de Ligt;Z;NLD;N;26;D;N;Ant;Imp;0
Andrey Santos;V;BRA;N;22;D;S;Ant;Res;0
Carlos Baleba;V;CMR;N;22;E;N;Ant;Agi;4
Manuel Ugarte;V;URY;N;25;D;N;Des;Agi;0
Bruno Fernandes;M;PRT;S;31;D;S;Arm;Vis;2
Jack Fletcher;M;ENG;N;19;E;N;Pas;Fri;0
Kobbie Mainoo;M;ENG;N;21;D;N;Pas;Agi;0
Mason Mount;M;ENG;N;27;D;N;Fin;Vis;0
Tyler Fletcher;M;SCT;N;19;D;N;Arm;Vis;0
Youri Tielemans;M;BEL;N;29;D;N;Arm;Vis;0
Amad Diallo;P;CIV;N;24;E;S;Dri;Cri;0
Bryan Mbeumo;P;CMR;N;26;E;S;Cru;Vel;0
Marcus Rashford;P;ENG;N;28;D;N;Dri;Agi;0
Benjamin Sesko;A;SVN;N;23;D;S;Cab;Vel;0
Chido Obi;A;DNK;N;18;D;N;Pas;Res;0
Joshua Zirkzee;A;NLD;N;25;D;N;Pas;Vel;0
Matheus Cunha;A;BRA;N;27;D;S;Chu;Vel;0
