Venezia;ITA;82;Pier Luigi Penzo;Giovanni Stroppa;ITA;FF8000;000000;12000
Filip Stanković;G;SRB;N;24;D;S;Ref;Con;0
Matteo Grandi;G;ITA;N;33;D;N;Col;Imp;0
Antoine Hainaut;L;FRA;N;24;D;S;Cru;Res;0
Bartol Franjic;L;HRV;N;26;E;S;Pos;Agi;0
Pasquale Mazzocchi;L;ITA;N;31;D;N;Cru;Ace;0
Richie Sagrado;L;BEL;N;22;D;N;Cru;Vel;0
Ridgeciano Haps;L;SUR;N;33;E;S;Cru;Ace;0
Thierry Correia;L;PRT;N;27;D;N;Pos;Vel;0
Armel Bella-Kotchap;Z;DEU;N;24;D;S;Des;For;0
Joël Schingtienne;Z;BEL;N;24;D;S;Pos;Res;0
Juan Jesus;Z;BRA;N;35;E;N;Pos;For;0
Marin Šverko;Z;HRV;N;28;E;N;Ant;Con;0
Matías Moreno;Z;ARG;N;22;D;N;Ant;Imp;0
Redouane Halhal;Z;MAR;N;23;D;N;Des;For;0
Alfred Duncan;V;GHA;N;33;E;N;Pas;For;0
Gianluca Busio;M;USA;N;24;D;S;Fin;Res;0
Kike Pérez;M;ESP;N;29;E;S;Arm;Vis;0
Lorenzo Berardi;M;ITA;N;20;E;N;Dri;Agi;0
Matteo Dagasso;M;ITA;N;22;E;N;Pas;Vis;0
Simon Sohm;M;CHE;N;25;D;N;Pas;Res;0
Thórir Helgason;M;ISL;N;25;D;N;Pas;Res;0
Toma Bašić;M;HRV;N;29;E;S;Pas;Vis;0
Toni Fernández;M;ESP;N;18;E;N;Dri;Agi;0
Kornel Lisman;P;POL;N;20;D;N;Dri;Vel;0
Akor Adams;A;NGA;S;26;D;S;Fin;Fri;0
Albion Rrahmani;A;XKX;N;26;A;N;Fin;Fri;0
Andrea Adorante;A;ITA;N;26;D;N;Fin;Fri;0
John Yeboah;A;ECU;N;26;E;S;Dri;Res;0
Lion Lauberbach;A;DEU;N;28;E;N;Cab;For;0
Mohamed Touré;A;SEN;N;19;D;N;Fin;Imp;0
