Peñarol;URY;83;Campeón del Siglo;Diego Aguirre;URY;FFE700;000000;40500
Sebastián Britos;G;URY;N;38;D;N;Sgo;Fle;0
Washington Aguerre;G;URY;N;33;D;S;Col;For;0
Diego Laxalt;L;URY;N;33;E;N;Pas;For;0
Kevin Rodríguez;L;URY;N;20;D;N;Pas;Agi;0
Lucas Hernández;L;URY;N;33;E;N;Cru;For;0
Maximiliano Olivera;L;URY;N;34;E;N;Pos;For;0
Andrés Madruga;Z;URY;N;22;D;N;Mar;For;0
Franco Romero;Z;URY;N;31;D;S;Ant;For;0
Lucas Ferreira;Z;URY;N;25;D;S;Pos;Imp;0
Mauricio Lemos;Z;URY;N;30;D;S;Des;For;0
Nahuel Herrera;Z;URY;N;21;D;N;Mar;Vel;0
Eric Remedi;V;ARG;N;30;D;S;Des;Vis;0
Jesús Trindade;V;URY;N;32;D;S;Mar;For;0
Eduardo Darias;M;URY;N;28;D;N;Fin;Agi;0
Franco González;M;URY;N;21;D;N;Chu;Cri;0
Leandro Umpiérrez;M;URY;N;22;D;S;Fin;Agi;0
Leo Fernández;M;URY;N;27;E;S;Chu;Cri;5
Nicolás Fernández;M;URY;N;28;D;S;Pas;Vis;0
Stiven Muhlethaler;M;URY;N;20;D;N;Chu;Agi;0
Brandon Álvarez;P;URY;N;18;D;N;Dri;Vel;0
Cristian Jaime;P;ARG;N;19;E;N;Dri;Agi;0
Gonzalo Gelini;P;ARG;N;19;D;N;Arm;Ace;0
Javier Cabrera;P;URY;N;34;D;N;Pas;Cri;0
Luis Angulo;P;COL;N;22;D;S;Fin;Vel;0
Abel Hernández;A;URY;N;35;E;N;Fin;Fri;0
Facundo Batista;A;URY;N;27;D;N;Fin;Res;0
Matías Arezo;A;URY;N;23;D;S;Fin;Fri;6
