Central Norte;ARG;50;Padre Ernesto Martearena;Mario Sciacqua;ARG;000000;FFFFFF;20500
Enzo Vázquez;G;ARG;N;25;D;S;Sgo;Con;0
Fabricio Hass;G;ARG;N;28;D;N;Col;For;0
Agustín Aleo;L;ARG;N;28;E;N;Cru;Res;0
Mauricio Rosales;L;ARG;N;34;D;S;Pas;For;0
Pedro Sanz;L;ARG;N;26;E;S;Pas;Vel;0
Agustín Lamosa;Z;ARG;N;24;D;S;Mar;Imp;0
Arián Pucheta;Z;ARG;N;31;E;N;Ant;Vel;0
Elías Calderón;Z;ARG;N;25;D;S;Pos;Con;0
Gonzalo Castilla;Z;ARG;N;23;D;N;Cab;For;0
Leonardo Felissia;Z;ARG;N;25;D;S;Des;Res;0
Maximiliano Padilla;Z;ARG;N;31;E;N;Mar;Imp;0
Ramiro Enríquez;Z;ARG;N;22;D;N;Pos;For;0
Matías Villarreal;V;ARG;N;34;D;S;Mar;Con;0
Agustín Bustinduy;M;ARG;N;21;D;N;Fin;Res;0
Gianluca Mancuso;M;ARG;N;28;D;N;Dri;Vis;0
Gonzalo Álvez;M;ARG;N;22;D;N;Pas;Fri;0
Matías Moravec;M;ARG;N;25;D;S;Arm;Cri;0
Maximiliano Ribero;M;ARG;N;28;D;S;Chu;Fri;0
Sergio Quiroga;M;ARG;N;32;D;N;Arm;Vis;0
Tomás Castro;M;ARG;N;23;D;N;Pas;Res;0
Franco Vedoya;P;ARG;N;25;D;S;Cru;Ace;0
Kevin Isa Luna;P;ARG;N;25;E;N;Arm;Cri;0
Patricio Vidal;P;ARG;N;34;D;N;Fin;Cri;0
Francisco Borda;A;ARG;N;24;D;S;Pas;Res;0
Joaquin Mateo;A;ARG;N;28;E;N;Cab;Imp;0
Ramiro Costa;A;ARG;N;33;E;N;Chu;Fri;0
Tiago Taobas;A;ARG;N;21;D;N;Fin;Res;0
Érik Bodencer;A;ARG;N;26;D;N;Pas;For;0
