Fenerbahce;TUR;88;Şükrü Saracoğlu Stadium;İsmail Kartal;TUR;FFED00;00417F;47000
Ederson;G;BRA;S;32;E;S;Ref;Fle;4
Mert Günok;G;TUR;N;37;D;N;Sgo;For;0
Tarık Çetin;G;TUR;N;29;D;N;Rbo;Fle;0
Archie Brown;L;ENG;N;24;E;S;Cru;Vel;0
Levent Mercan;L;TUR;N;25;E;N;Pas;Ace;0
Mert Müldür;L;TUR;N;27;D;S;Cru;Ace;0
Nélson Semedo;L;PRT;N;32;D;S;Pos;For;0
Milan Škriniar;Z;SVK;S;31;D;S;Mar;For;3
Nathan Aké;Z;NLD;S;31;E;N;Pos;Con;4
Oosterwolde;Z;NLD;N;25;E;S;Mar;Vel;0
Peprah Oppong;Z;GHA;N;22;D;S;Ant;Con;0
Yiğit Efe Demir;Z;TUR;N;22;D;N;Pos;Imp;0
Çağlar Söyüncü;Z;TUR;N;30;A;N;Des;For;0
Bartuğ Elmaz;V;TUR;N;23;D;N;Pas;Con;0
İsmail Yüksek;V;TUR;N;27;D;S;Mar;Vis;0
N'Golo Kanté;V;FRA;S;35;D;N;Mar;Con;3
Abdou Aziz Fall;M;SEN;N;19;D;N;Pas;Agi;0
Hakan Yandaş;M;TUR;N;31;D;N;Chu;Fri;0
Marco Asensio;M;ESP;S;30;E;S;Chu;Cri;0
Mattéo Guendouzi;M;FRA;N;27;D;N;Pas;Cri;0
Talisca;M;BRA;S;32;E;S;Fin;Cri;0
Adem Yeşilyurt;P;TUR;N;19;E;N;Dri;Vel;0
Amara Diouf;P;SEN;N;18;D;N;Dri;Vel;0
Dorgeles Nene;P;MLI;N;23;D;N;Dri;Ace;0
İrfan Can Kahveci;P;TUR;N;31;E;N;Arm;Cri;0
Kerem Aktürkoğlu;P;TUR;N;27;D;S;Cru;Agi;0
Mason Greenwood;P;ENG;S;24;A;N;Cru;Ace;5
Oğuz Aydın;P;TUR;N;25;D;N;Pas;Agi;0
Romelu Lukaku;A;BEL;N;33;E;N;Fin;For;0
Vedat Muriqi;A;XKX;N;32;E;N;Fin;Fri;6
