Elversberg;DEU;82;Ursapharm-Arena;Vincent Wagner;DEU;FFFFFF;000000;10000
Elias Etringer;G;DEU;N;18;D;N;Ref;Fle;0
Frank Lehmann;G;DEU;N;37;D;N;Col;Con;0
Nicolas Kristof;G;AUT;N;26;A;S;Rbo;Fle;0
Tim Boss;G;DEU;N;33;A;N;Ref;Con;0
Felix Keidel;L;DEU;N;23;D;S;Pas;Vel;0
Jan Gyamerah;L;GHA;N;31;D;S;Des;Ace;0
Lasse Günther;L;DEU;N;23;E;N;Mar;Ace;0
Nicholas Mickelson;L;THA;N;27;D;N;Cru;Ace;0
Florian Le Joncour;Z;FRA;N;31;E;N;Des;Vel;0
Luca Sirch;Z;DEU;N;27;D;S;Des;Res;0
Luis Seifert;Z;DEU;N;22;D;N;Pos;Con;0
Lukas Pinckert;Z;DEU;N;26;D;S;Des;Res;0
Maximilian Rohr;Z;DEU;N;31;A;S;Ant;Con;0
Amara Condé;V;DEU;N;29;D;S;Chu;Res;0
Lukasz Poreba;V;POL;N;26;D;S;Pas;Con;0
Francis Onyeka;M;DEU;N;19;E;S;Pas;Res;0
Frederik Schmahl;M;DEU;N;23;D;N;Chu;Vis;0
Maurice Krattenmacher;M;DEU;N;21;A;N;Chu;Cri;0
Cole Campbell;P;USA;N;20;E;N;Dri;Agi;0
Jason Ceka;P;DEU;N;26;A;N;Pas;Ace;0
Lukas Petkov;P;BGR;N;25;D;S;Fin;Vel;0
Noah Darvich;P;DEU;N;19;E;N;Pas;Res;0
Raif Adam;P;DEU;N;20;E;N;Pas;Ace;0
Tom Zimmerschied;P;DEU;N;27;D;S;Dri;Vel;0
David Mokwa;A;FRA;N;22;D;N;Fin;Vel;0
Luca Pfeiffer;A;DEU;N;29;D;N;Cab;Imp;0
Luca Schnellbacher;A;DEU;N;32;D;N;Fin;Fri;0
Noel Futkeu;A;DEU;N;23;D;N;Dri;Fri;0
