Portuguesa;BRA;50;Canindé;Ademir Fesan;BRA;DC1D26;005727;22000
Bruno Bertinato;G;BRA;N;28;E;S;Ref;Con;0
João Paulo;G;BRA;N;25;E;N;Col;Fle;0
Carlos Eduardo;L;BRA;N;29;E;N;Pos;Ace;0
Gustavo Salomão;L;BRA;N;29;E;S;Pas;Agi;0
Gustavo Sciencia;L;BRA;N;22;D;N;Cru;Ace;0
João Vitor;L;BRA;N;24;D;S;Mar;For;0
Lucas Hipólito;L;BRA;N;31;E;N;Des;Ace;0
Carlos Eduardo;Z;BRA;N;25;E;S;Des;For;0
Eduardo Biazus;Z;BRA;N;25;D;S;Ant;Vel;0
Eric Botteghin;Z;BRA;N;38;D;S;Cab;Imp;0
Gustavo Henrique;Z;BRA;N;26;D;S;Mar;Con;0
Wellington;Z;BRA;N;21;D;N;Pos;Vel;0
Franco;V;BRA;N;33;D;N;Des;For;0
Hudson;V;BRA;N;25;D;N;Mar;Agi;0
Matheus Cecchini;V;BRA;N;23;D;N;Ant;Vis;0
Denis;M;BRA;N;22;D;S;Pas;Vis;0
Felipe Tontini;M;BRA;N;31;A;N;Arm;Cri;0
Thiaguinho;M;BRA;N;29;D;S;Pas;Res;0
Everton;P;BRA;N;24;E;N;Dri;Agi;0
Guilherme Henrique;P;BRA;N;19;D;N;Cru;Agi;0
Guilherme Santos;P;BRA;N;25;E;N;Dri;Ace;0
Jonas Toró;P;BRA;N;27;D;N;Fin;Vel;0
João Diogo;P;BRA;N;27;D;N;Cru;Vel;0
Thiago Rubim;P;BRA;N;27;D;N;Pas;Agi;0
Cauari;A;BRA;N;23;E;N;Fin;For;0
Igor Torres;A;BRA;N;26;A;S;Dri;Vel;0
Matheus Cadorini;A;BRA;N;23;D;S;Cab;For;0
