Nottingham Forest;ENG;90;The City Ground;Oliver Glasner;AUT;E41927;000000;30000
John Victor;G;BRA;N;30;D;N;Ref;Fle;0
Matz Sels;G;BEL;N;34;D;S;Ref;Fle;0
Steven Benda;G;DEU;N;27;D;N;Sgo;Imp;0
Daniel Muñoz;L;COL;N;30;D;S;Des;Vel;3
Luca Netz;L;DEU;N;23;E;N;Pos;Agi;0
Neco Williams;L;WLS;N;25;D;S;Des;Vel;0
Nicolò Savona;L;ITA;N;23;D;N;Pas;Agi;0
Ola Aina;L;NGA;N;29;D;S;Pos;Agi;0
Jair Cunha;Z;BRA;N;21;A;N;Mar;Vel;0
Murillo;Z;BRA;N;24;E;S;Des;Con;3
Nikola Milenković;Z;SRB;N;28;D;S;Des;Imp;0
Ousmane Diomande;Z;CIV;N;22;D;N;Cab;Con;0
Ibrahim Sangaré;V;CIV;N;28;D;S;Des;Agi;4
Nicolás Domínguez;V;ARG;N;28;D;S;Des;Agi;0
Ryan Yates;V;ENG;N;28;D;N;Ant;Agi;0
James McAtee;M;ENG;N;23;E;N;Pas;Vis;0
Morgan Gibbs-White;M;ENG;N;26;D;S;Fin;Vis;0
Xaver Schlager;M;AUT;N;28;E;N;Fin;Cri;0
Callum Hudson-Odoi;P;ENG;N;25;D;S;Pas;Agi;0
Dan Ndoye;P;CHE;N;25;D;N;Fin;Agi;0
Arnaud Kalimuendo;A;FRA;N;24;D;N;Chu;For;0
Chris Wood;A;NZL;N;34;D;N;Cab;Imp;0
Igor Jesus;A;BRA;N;25;D;S;Fin;Vel;0
Liam Delap;A;ENG;N;23;D;N;Dri;Vel;0
