Ciudad de Bolivar;ARG;58;Municipal Eva Perón;Diego Funes;ARG;0B90E1;FFFFFF;4000
Agustín Rufinetti;G;ARG;N;26;D;S;Col;Con;0
Enzo Álvarez;G;ARG;N;25;E;N;Ref;Fri;0
Agustín Paredes;L;ARG;N;24;D;S;Pos;Agi;0
Facundo Mucignat;L;ARG;N;26;D;N;Pas;Agi;0
Gonzalo Valderrama;L;ARG;N;20;D;N;Mar;Agi;0
Elías Martínez;Z;ARG;N;31;D;S;Ant;For;0
Ezequiel Navarro;Z;ARG;N;24;D;S;Mar;Vel;0
Federico Peralta;Z;ARG;N;24;E;N;Pos;Con;0
Joel Ledesma;Z;ARG;N;22;D;N;Des;For;0
Áxel Carrión;Z;ARG;N;21;D;N;Des;Imp;0
Brian Quintana;V;ARG;N;23;D;S;Mar;Agi;0
Alex Díaz;M;ARG;N;26;D;S;Arm;Vis;0
Arnaldo González;M;ARG;N;36;D;S;Chu;Vis;0
Maximiliano Gutiérrez;M;ARG;N;29;E;S;Fin;Fri;0
Nahuel Yeri;M;ARG;N;34;D;S;Pas;Res;0
Thiago Rodriguez;M;ARG;N;21;D;N;Pas;Agi;0
Tobías Fernández;M;ARG;N;24;D;N;Pas;Res;0
Tomás Alegre;M;ARG;N;26;D;N;Pas;Vis;0
Tomás Guiacobini;M;ARG;N;21;E;N;Arm;Fri;0
Agustín Díaz;P;ARG;N;23;E;N;Dri;Ace;0
Camilo García;P;ARG;N;23;D;N;Fin;Agi;0
Guillermo Sánchez;P;ARG;N;30;D;S;Fin;Vel;0
Tomás Rambert;P;ARG;N;22;D;N;Pas;Agi;0
Brian Duarte;A;ARG;N;26;D;N;Fin;Res;0
Jonatan Maciel;A;ARG;N;32;D;N;Pas;For;0
José Abentín;A;ARG;N;30;D;N;Fin;Fri;0
Khalil Caraballo;A;ARG;N;27;D;S;Fin;Fri;0
Lautaro Villegas;A;ARG;N;29;D;N;Dri;Vel;0
