Ferroviária;BRA;62;Fonte Luminosa;Rogério Corrêa;BRA;972227;FFFFFF;20000
Dênis Júnior;G;BRA;N;27;D;S;Ref;Fle;0
Gustavo Jundi;G;BRA;N;22;D;N;Col;Con;0
Léo Wall;G;BRA;N;26;D;N;Col;Imp;0
Lucas Rodrigues;L;BRA;N;27;D;S;Cru;Res;0
Rhuan;L;BRA;N;25;E;N;Cru;Vel;0
Vinicius Kauê;L;BRA;N;23;E;N;Des;Agi;0
Erik;Z;BRA;N;21;D;N;Ant;Vel;0
Gadu;Z;BRA;N;21;A;N;Des;For;0
Guilherme Ferreira;Z;BRA;N;26;D;S;Cab;For;0
Gustavo Medina;Z;BRA;N;25;D;N;Pos;Con;0
Zé Vitor;Z;BRA;N;24;E;N;Ant;Vel;0
Fernandinho;V;BRA;N;22;D;N;Mar;For;0
Rafael Carrilho;V;BRA;N;31;D;S;Pas;For;0
Albano;M;BRA;N;29;E;S;Arm;Cri;0
Alencar;M;BRA;N;23;D;N;Pas;Res;0
Allison;M;BRA;N;24;D;N;Dri;Agi;0
Cauê Araújo;M;BRA;N;21;D;N;Pas;Agi;0
David;M;BRA;N;22;D;N;Arm;Cri;0
Jhonatan Garcia;M;BRA;N;22;D;N;Pas;Res;0
Juninho;M;BRA;N;30;D;N;Fin;Cri;0
Ricardinho;M;BRA;N;37;D;S;Pas;Vis;0
Denilson;P;BRA;N;22;E;N;Cru;Vel;0
Douglas Skilo;P;BRA;N;31;D;S;Cru;Res;0
Fábio Soares;P;BRA;N;21;D;N;Dri;Agi;0
Vitor Barreto;P;BRA;N;26;D;S;Dri;Ace;0
Denilson;A;BRA;N;28;D;S;Fin;For;0
Felipe Rodrigues;A;BRA;N;30;D;S;Cab;For;0
Pedro Estevam;A;BRA;N;21;D;N;Pas;For;0
Thiago Montelo;A;BRA;N;21;D;N;Fin;Res;0
Vinni Faria;A;BRA;N;26;D;S;Fin;Vel;0
