Clermont;FRA;69;Stade Gabriel-Montpied;David Guion;FRA;C50C46;042865;11500
Massamba N'Diaye;G;SEN;N;24;E;N;Col;Con;0
Théo Guivarch;G;FRA;N;30;D;S;Ref;Imp;0
Cheick Oumar Konaté;L;MLI;N;22;D;N;Des;Vel;0
El Hadj Koné;L;CIV;N;20;E;S;Pas;Agi;0
Ibrahim Coulibaly;L;FRA;N;20;D;N;Cru;Agi;0
Junior Sambia;L;CAF;N;29;D;N;Pas;Vel;0
Kenji-Van Boto;L;MDG;N;30;E;N;Mar;For;0
Vital Nsimba;L;COD;N;33;E;S;Mar;Agi;0
Andy Pelmard;Z;MDG;N;26;D;N;Des;Vel;0
Ivan M'Bahia;Z;CIV;N;21;D;S;Des;Con;0
Jean Grillot;Z;FRA;N;20;D;S;Pos;Con;0
Matys Donavin;Z;FRA;N;19;E;N;Cab;Imp;0
Yoann Salmier;Z;GUF;N;33;D;S;Pos;Res;0
Julien Astic;V;FRA;N;21;D;N;Pas;Vis;0
Abdellah Baallal;M;MAR;N;21;D;S;Fin;Agi;0
Allan Ackra;M;FRA;N;22;D;N;Fin;Vis;0
Rominigue Kouamé;M;MLI;N;29;E;S;Dri;Agi;0
Yuliwes Bellache;M;DZA;N;23;D;N;Fin;Vis;0
Enzo Cantero;P;FRA;N;21;E;N;Fin;Res;0
Florian Bianchini;P;FRA;N;25;D;N;Cru;Ace;0
Maïdine Douane;P;DZA;N;23;D;N;Arm;Vel;0
Ousmane Diop;P;SEN;N;21;D;N;Cru;Agi;0
Adrien Hunou;A;FRA;N;32;D;S;Cab;Res;0
Arthur Saintorens;A;FRA;N;21;D;S;Fin;Res;0
Bouchenna;A;FRA;N;20;D;S;Fin;Vel;0
Christ Okou;A;FRA;N;20;A;N;Fin;For;0
Luís Semedo;A;PRT;N;23;D;N;Cab;Imp;0
