Cagliari;ITA;83;Unipol Domus;Fabio Pisacane;ITA;AB0A0A;0F0F6B;16000
Alen Sherri;G;ALB;N;28;D;N;Col;Imp;0
Elia Caprile;G;ITA;N;24;D;S;Ref;Fle;0
Adam Obert;L;SVK;N;23;E;S;Pas;For;0
Gabriele Zappa;L;ITA;N;26;D;S;Cru;Agi;0
Giuseppe Aurelio;L;ITA;N;26;E;N;Cru;Vel;0
Riyad Idrissi;L;ITA;N;21;E;N;Cru;Vel;0
Yukinari Sugawara;L;JPN;N;26;D;N;Cru;Vel;0
Juan Rodríguez;Z;URY;N;21;E;N;Pos;Vel;0
Raphael Kofler;Z;ITA;N;21;D;N;Cab;Imp;0
Yerry Mina;Z;COL;N;31;D;S;Cab;For;0
Zé Pedro;Z;PRT;N;29;D;N;Mar;For;0
Alessandro Romano;V;CHE;N;20;E;S;Pas;Vis;0
Harry Winks;V;ENG;N;30;D;S;Pas;Vis;0
Alessandro Deiola;M;ITA;N;30;D;S;Chu;Res;0
Daniel Maldini;M;ITA;N;24;D;N;Fin;Cri;0
Ivan Sulev;M;BGR;N;19;D;N;Fin;Agi;0
Jacopo Fazzini;M;ITA;N;22;D;N;Dri;Agi;0
Joseph Liteta;M;ZMB;N;20;D;N;Pas;Vis;0
Michel Adopo;M;FRA;N;25;D;S;Pas;Res;0
Nicola Grandu;M;ITA;N;19;D;N;Pas;Res;0
Roberto Gagliardini;M;ITA;N;31;D;N;Pas;Res;0
Yanis Massolin;M;FRA;N;23;E;N;Arm;Vis;0
Alieu Fadera;P;GMB;N;24;D;N;Dri;Vel;0
Mattia Felici;P;ITA;N;25;D;S;Arm;Agi;0
Riccardo Ciervo;P;ITA;N;24;D;N;Cru;Vel;0
Gennaro Borrelli;A;ITA;N;26;D;S;Cab;For;0
Kevin Carlos;A;ESP;N;24;D;S;Fin;For;0
M'Bala Nzola;A;AGO;N;29;E;N;Fin;For;0
Paul Mendy;A;SEN;N;19;E;N;Fin;Vel;0
Yael Trepy;A;FRA;N;20;E;N;Fin;For;0
