Deportivo Guadalajara;MEX;82;Estadio Akron;Gabriel Milito;ARG;C9142C;FFFFFF;49500
Raúl Rangel;G;MEX;N;26;D;S;Ref;Con;0
Sebastián Liceaga;G;MEX;N;19;D;N;Sgo;Imp;0
Óscar Whalley;G;ESP;N;32;E;N;Col;Fle;0
Bryan González;L;MEX;N;23;E;S;Cru;Agi;0
Miguel Gómez;L;MEX;N;23;D;N;Pas;Vel;0
Richard Ledezma;L;MEX;N;25;D;S;Des;For;0
Daniel Aguirre;Z;USA;N;27;D;S;Des;Res;0
Diego Campillo;Z;MEX;N;24;D;S;Mar;For;0
José Castillo;Z;MEX;N;24;D;S;Pos;Imp;0
Luis Romo;Z;MEX;N;31;D;S;Cab;Res;0
Miguel Tapias;Z;MEX;N;29;E;N;Ant;Con;0
Fernando González;V;MEX;N;32;E;S;Pas;Con;0
Luis Gabriel Rey;V;MEX;N;23;D;N;Mar;Agi;0
Omar Govea;V;MEX;N;30;D;S;Chu;For;0
Brian Gutiérrez;M;MEX;N;23;D;N;Dri;Cri;0
Efraín Álvarez;M;MEX;N;24;E;S;Pas;Vis;0
Kevin Castañeda;M;MEX;N;26;D;N;Arm;Fri;0
Santiago Sandoval;M;MEX;N;19;E;N;Pas;Cri;0
Hugo Camberos;P;MEX;N;19;D;N;Cru;Res;0
Jonathan Pérez;P;MEX;N;23;E;N;Dri;Ace;0
Jordán Carrillo;P;MEX;N;24;D;N;Fin;Res;0
Roberto Alvarado;P;MEX;N;27;E;S;Arm;Cri;0
Ricardo Marín;A;MEX;N;28;E;N;Chu;Imp;0
Ángel Sepúlveda;A;MEX;N;35;D;N;Fin;Vel;0
