Levante;ESP;84;Ciutat de València;Luís Castro;PRT;0000CC;FFFFFF;26000
Mathew Ryan;G;AUS;S;34;D;S;Rbo;Fle;0
Pablo Campos;G;ESP;N;24;D;N;Ref;Con;0
Álex Primo;G;ESP;N;22;D;N;Rbo;Con;0
Jeremy Toljan;L;DEU;N;32;D;N;Cru;Vel;0
Manu Sánchez;L;ESP;N;26;E;S;Cru;Res;0
Marc Santos;L;ESP;N;16;E;N;Pas;Agi;0
Nacho Pérez;L;ESP;N;17;D;S;Des;Agi;0
Víctor García;L;ESP;N;28;D;S;Cru;Vel;0
Xavi Grande;L;ESP;N;21;D;N;Des;Agi;0
Adrián Dela;Z;ESP;N;27;D;S;Ant;Imp;0
Axel Tape;Z;FRA;N;18;D;N;Ant;Vel;0
Aïssa Mandi;Z;DZA;N;34;D;S;Des;Con;0
Ifeanyi Ndukwe;Z;AUT;N;18;A;N;Des;Imp;0
Jorge Cabello;Z;ESP;N;22;E;N;Pos;Vel;0
Hugo Sotelo;V;ESP;N;22;D;N;Pas;Vis;0
Oriol Rey;V;ESP;N;28;E;S;Pas;Vis;0
Carlos Álvarez;M;ESP;N;23;E;N;Dri;Agi;0
Dani Requena;M;ESP;N;22;D;N;Pas;Agi;0
Enzo Bardeli;M;FRA;N;25;D;S;Fin;Vis;0
Jon Ander Olasagasti;M;ESP;N;26;E;S;Chu;Vis;0
Paco Cortés;P;ESP;N;19;D;N;Fin;Agi;0
Roger Brugué;P;ESP;N;29;E;S;Fin;Agi;0
Thiago Fernández;P;ARG;N;22;D;N;Dri;Agi;0
Iván Romero;A;ESP;N;25;D;S;Pas;Res;0
Karl Etta Eyong;A;CMR;N;22;D;N;Fin;Vel;0
Yanis Musuayi;A;BEL;N;19;D;N;Fin;Vel;0
