Trabzonspor;TUR;82;Papara Park;Fatih Tekke;TUR;681938;2DB2EB;41000
Ahmet Yıldırım;G;TUR;N;19;D;N;Rbo;Fle;0
André Onana;G;CMR;N;30;D;S;Ref;For;0
Erol Can Çolak;G;TUR;N;20;E;N;Ref;Fri;0
Onuralp Çevikkan;G;TUR;N;20;D;N;Sgo;Con;0
Mustafa Eskihellaç;L;TUR;N;29;D;S;Cru;Vel;0
Sidny Lopes Cabral;L;CPV;N;23;A;S;Pas;Agi;0
Wagner Pina;L;CPV;N;23;D;S;Cru;Vel;0
Arseniy Batagov;Z;UKR;N;24;E;N;Mar;For;0
Cenk Özkacar;Z;TUR;N;25;E;N;Ant;Res;0
Chibuike Nwaiwu;Z;NGA;N;23;D;S;Ant;Vel;0
Samet Akaydin;Z;TUR;N;32;D;N;Cab;Imp;0
Stefan Savic;Z;MNE;N;35;D;S;Mar;For;0
Batista Mendy;V;FRA;N;26;D;N;Mar;For;0
Fabinho;V;BRA;N;32;D;N;Ant;Con;0
Melih Kabasakal;V;TUR;N;30;D;S;Ant;For;0
Okay Yokuşlu;V;TUR;N;32;D;N;Des;Con;0
Benjamin Bouchouari;M;MAR;N;24;D;N;Chu;Vis;0
Ernest Muci;M;ALB;N;25;A;N;Pas;Fri;0
Ozan Tufan;M;TUR;N;31;D;N;Pas;Cri;0
Ruslan Malinovskyi;M;UKR;N;33;E;S;Chu;Vis;2
Tim Jabol-Folcarelli;M;FRA;N;26;D;N;Pas;Cri;0
Aral Şimşir;P;TUR;N;24;D;S;Cru;Vel;0
Cihan Çanak;P;TUR;N;21;E;N;Cru;Ace;0
Metehan Mimaroğlu;P;TUR;N;32;D;N;Arm;Res;0
Mohamed Salah;P;EGY;S;34;E;S;Fin;Agi;6
Noah Saviolo;P;PRT;N;22;D;N;Dri;Res;0
Denis Drăguș;A;ROU;N;27;D;N;Fin;Imp;0
Paul Onuachu;A;NGA;N;32;D;S;Cab;Imp;0
René Mitongo;A;BEL;N;18;D;N;Fin;Imp;0
Umut Nayir;A;TUR;N;33;D;N;Cab;Imp;0
