Al-Ahli;SAU;83;King Abdullah Sports City;Marino Pusic;NLD;008356;FFFFFF;62000
Abdullah Abdo;G;SAU;N;24;D;N;Col;Con;0
Abdulrahman Al-Sanbi;G;SAU;N;25;D;S;Sgo;Fle;0
Edouard Mendy;G;SEN;S;34;D;N;Ref;Fle;1
Salman Al-Jadany;G;SAU;N;22;D;N;Col;Con;0
Abdulrahman;L;SAU;N;23;D;N;Mar;Agi;0
Ali Majrashi;L;SAU;N;26;D;N;Des;Agi;0
Saad Balobaid;L;SAU;N;26;E;S;Cru;Vel;0
Zakaria Hawsawi;L;SAU;N;25;E;N;Des;For;0
Abubacarr Sedi Kinteh;Z;GMB;N;19;E;N;Mar;Vel;0
Merih Demiral;Z;TUR;N;28;D;S;Cab;Imp;0
Mohammed Sulaiman;Z;SAU;N;22;D;N;Pos;Con;0
Rayan Hamed;Z;SAU;N;24;D;S;Mar;For;0
Roger Ibañez;Z;BRA;N;27;D;S;Des;For;0
Ziyad Al-Johani;V;SAU;N;24;E;S;Pas;Agi;0
Artem Bondarenko;M;UKR;N;26;E;N;Arm;Vis;0
Eduard Spertsyan;M;ARM;N;26;D;S;Arm;Fri;0
Francisco Trincão;M;PRT;S;26;E;S;Dri;Agi;0
Naif Masoud;M;SAU;N;25;D;N;Pas;Res;0
Valentin Atangana;M;FRA;N;20;D;S;Pas;Res;0
Galeno;P;BRA;N;28;D;S;Arm;Vel;5
Matheus Gonçalves;P;BRA;N;21;E;N;Dri;Agi;0
Meshal Al-Mutairi;P;SAU;N;27;D;N;Arm;Agi;0
Saleh Abu Al-Shamat;P;SAU;N;24;D;N;Pas;Cri;0
Abdullah Radif;A;SAU;N;23;D;N;Fin;Res;0
Firas Al-Buraikan;A;SAU;N;26;E;N;Fin;Vel;0
Ivan Toney;A;ENG;S;30;D;S;Fin;Fri;6
Ricardo Mathias;A;BRA;N;20;D;N;Pas;For;0
